Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
163,Atascadero,Central Coast Valleys,1/1/2020,001,0.06, ,0.00, ,240, ,9.7, ,62.5, ,35.8, ,48.1, ,100, ,51, ,84, ,43.6, ,3.4, ,81.0, ,48.9, 
163,Atascadero,Central Coast Valleys,1/2/2020,002,0.06, ,0.00, ,234, ,10.5, ,60.9, ,40.9, ,51.4, ,97, ,57, ,81, ,45.7, ,3.6, ,85.3, ,50.1, 
163,Atascadero,Central Coast Valleys,1/3/2020,003,0.07, ,0.00, ,288, ,8.0, ,68.6, ,31.6, ,46.5, ,96, ,35, ,74, ,38.7, ,1.7, ,39.8, ,50.3, 
163,Atascadero,Central Coast Valleys,1/4/2020,004,0.06, ,0.00, ,271, ,8.4, ,62.5, ,32.4, ,46.0, ,97, ,45, ,79, ,40.0, ,2.3, ,54.4, ,49.8, 
163,Atascadero,Central Coast Valleys,1/5/2020,005,0.06, ,0.00, ,248, ,9.6, ,58.3, ,38.9, ,49.2, ,97, ,48, ,81, ,43.5, ,4.5, ,108.3, ,50.0, 
163,Atascadero,Central Coast Valleys,1/6/2020,006,0.07, ,0.00, ,311,R,7.7, ,61.0, ,34.6, ,46.6, ,95, ,44, ,71, ,37.7, ,3.0, ,72.5, ,49.8, 
163,Atascadero,Central Coast Valleys,1/7/2020,007,0.06, ,0.00, ,278, ,7.3, ,63.3, ,28.2, ,42.7, ,96, ,44, ,78, ,36.3, ,1.6, ,38.7, ,49.3, 
163,Atascadero,Central Coast Valleys,1/8/2020,008,0.06, ,0.00, ,284, ,8.2, ,56.4, ,33.4, ,44.3, ,97, ,54, ,82, ,39.3, ,2.6, ,62.8, ,48.9, 
163,Atascadero,Central Coast Valleys,1/9/2020,009,0.04, ,0.11, ,174, ,9.1, ,54.6, ,39.4, ,46.7, ,96, ,70, ,83, ,42.0, ,3.5, ,83.9, ,49.1, 
163,Atascadero,Central Coast Valleys,1/10/2020,010,0.07, ,0.00, ,316,R,7.4, ,58.0, ,31.3, ,43.8, ,96, ,48, ,76, ,36.8, ,2.4, ,58.5, ,49.0, 
163,Atascadero,Central Coast Valleys,1/11/2020,011,0.04, ,0.00, ,179, ,8.0, ,56.1, ,31.0, ,43.3, ,99, ,57, ,84, ,38.7, ,3.2, ,77.4, ,48.5, 
163,Atascadero,Central Coast Valleys,1/12/2020,012,0.06, ,0.00, ,266, ,7.8, ,55.4, ,34.4, ,44.2, ,97, ,51, ,79, ,38.1, ,3.1, ,73.5, ,48.5, 
163,Atascadero,Central Coast Valleys,1/13/2020,013,0.05, ,0.00, ,266, ,7.7, ,55.5, ,31.7, ,42.7, ,99, ,55, ,83, ,37.8, ,2.6, ,61.5, ,48.4, 
