Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
195,Auburn,Sierra Foothill,1/1/2020,001,0.04, ,0.00, ,160, ,9.3, ,60.7, ,41.9, ,49.0, ,95, ,53, ,78, ,42.6, ,2.6, ,62.6, ,49.7, 
195,Auburn,Sierra Foothill,1/2/2020,002,0.04, ,0.00, ,173, ,8.5, ,60.4, ,38.6, ,48.6, ,89, ,48, ,73, ,40.2, ,2.8, ,67.4, ,49.9, 
195,Auburn,Sierra Foothill,1/3/2020,003,0.04, ,0.00, ,180, ,8.9, ,60.7, ,41.6, ,48.8, ,89, ,55, ,75, ,41.4, ,3.1, ,74.4, ,49.9, 
195,Auburn,Sierra Foothill,1/4/2020,004,0.04, ,0.08, ,168, ,10.0, ,58.4, ,41.8, ,48.0, ,99, ,66, ,88, ,44.7, ,2.8, ,67.9, ,50.3, 
195,Auburn,Sierra Foothill,1/5/2020,005,0.04, ,0.00, ,203, ,9.4, ,56.3, ,37.1, ,46.3, ,99, ,67, ,88, ,43.0, ,2.3, ,55.5, ,50.5, 
195,Auburn,Sierra Foothill,1/6/2020,006,0.04, ,0.00, ,202, ,7.7, ,54.2, ,36.4, ,44.0, ,95, ,58, ,79, ,37.8, ,2.6, ,62.8, ,49.8, 
195,Auburn,Sierra Foothill,1/7/2020,007,0.04, ,0.01, ,63, ,9.5, ,56.5, ,42.2, ,46.8, ,96, ,56, ,87, ,43.3, ,2.6, ,63.4, ,49.7, 
195,Auburn,Sierra Foothill,1/8/2020,008,0.02, ,0.00, ,107, ,9.7, ,52.0, ,45.3, ,47.4, ,95, ,75, ,87, ,43.7, ,2.2, ,52.0, ,50.2, 
195,Auburn,Sierra Foothill,1/9/2020,009,0.02, ,0.37, ,125, ,8.8, ,50.6, ,36.6, ,44.7, ,98, ,76, ,88, ,41.3, ,3.1, ,75.5, ,50.2, 
195,Auburn,Sierra Foothill,1/10/2020,010,0.05, ,0.00, ,218, ,7.7, ,54.5, ,35.2, ,44.9, ,83, ,60, ,75, ,37.6, ,3.1, ,75.4, ,49.4, 
195,Auburn,Sierra Foothill,1/11/2020,011,0.02, ,0.07, ,117, ,9.2, ,54.6, ,40.8, ,46.3, ,95, ,63, ,86, ,42.3, ,2.7, ,64.2, ,49.9, 
195,Auburn,Sierra Foothill,1/12/2020,012,0.03, ,0.05, ,159, ,7.7, ,50.3, ,37.0, ,43.7, ,88, ,68, ,80, ,37.9, ,3.3, ,79.2, ,49.3, 
195,Auburn,Sierra Foothill,1/13/2020,013,0.03, ,0.23, ,135, ,9.1, ,51.6, ,43.3, ,46.5, ,96, ,65, ,84, ,42.0, ,3.3, ,78.1, ,49.4, 
195,Auburn,Sierra Foothill,1/14/2020,014,0.02, ,0.09, ,123, ,8.5, ,50.6, ,38.0, ,44.7, ,95, ,61, ,85, ,40.3, ,3.4, ,81.3, ,49.6, 
195,Auburn,Sierra Foothill,1/15/2020,015,0.04, ,0.00, ,192, ,6.9, ,50.8, ,35.5, ,42.8, ,90, ,54, ,74, ,35.1, ,3.2, ,76.2, ,48.8, 
195,Auburn,Sierra Foothill,1/16/2020,016,0.01, ,0.52, ,24, ,8.0, ,50.0, ,41.1, ,43.8, ,97, ,60, ,82, ,38.8, ,3.9, ,94.6, ,48.7, 
