Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
35,Bishop,Bishop,1/1/2020,001,0.07, ,0.00, ,251, ,4.5, ,63.3, ,25.1, ,43.9, ,82, ,25, ,46, ,24.6, ,3.2, ,76.3, ,41.2, 
35,Bishop,Bishop,1/2/2020,002,0.09, ,0.00, ,257, ,3.8, ,62.4, ,38.5, ,49.8, ,49, ,17, ,31, ,20.3, ,5.8, ,138.9, ,42.8, 
35,Bishop,Bishop,1/3/2020,003,0.06,R,0.00, ,234, ,3.7, ,63.1, ,26.9, ,42.6, ,74, ,15, ,40, ,20.0, ,1.7, ,40.3, ,43.1, 
35,Bishop,Bishop,1/4/2020,004,0.06, ,0.00, ,266, ,4.1, ,60.4, ,20.0, ,37.2, ,86, ,26, ,55, ,22.5, ,2.0, ,46.8, ,42.2, 
35,Bishop,Bishop,1/5/2020,005,0.08, ,0.00, ,282, ,2.5, ,58.9, ,20.2, ,40.2, ,81, ,8, ,29, ,10.5, ,3.9, ,92.9, ,41.5, 
35,Bishop,Bishop,1/6/2020,006,0.06, ,0.00, ,275, ,2.5, ,60.0, ,20.0, ,37.5, ,65, ,13, ,33, ,11.2, ,2.0, ,48.4, ,41.0, 
35,Bishop,Bishop,1/7/2020,007,0.06,R,0.00, ,277, ,3.0, ,55.0, ,16.6, ,33.0, ,82, ,20, ,47, ,14.9, ,1.8, ,43.5, ,40.3, 
35,Bishop,Bishop,1/8/2020,008,0.07, ,0.00, ,245, ,2.3, ,55.4, ,19.7, ,38.9, ,71, ,12, ,29, ,9.5, ,3.5, ,83.1, ,40.0, 
35,Bishop,Bishop,1/9/2020,009,0.06, ,0.00, ,195, ,3.1, ,50.6, ,17.9, ,35.0, ,75, ,24, ,45, ,16.1, ,3.1, ,75.2, ,39.8, 
35,Bishop,Bishop,1/10/2020,010,0.07,R,0.00, ,273, ,2.6, ,54.4, ,15.1, ,35.0, ,75, ,16, ,37, ,11.6, ,3.0, ,72.3, ,39.8, 
35,Bishop,Bishop,1/11/2020,011,0.08, ,0.00, ,286, ,2.4, ,60.7, ,15.9, ,38.4, ,72, ,8, ,30, ,10.0, ,4.3, ,102.4, ,39.8, 
35,Bishop,Bishop,1/12/2020,012,0.05, ,0.00, ,209, ,2.8, ,49.0, ,16.8, ,32.0, ,74, ,23, ,45, ,13.1, ,1.4, ,34.7, ,39.8, 
35,Bishop,Bishop,1/13/2020,013,0.06, ,0.00, ,287, ,3.1, ,55.1, ,15.4, ,31.5, ,80, ,21, ,51, ,15.5, ,2.1, ,51.0, ,39.2, 
35,Bishop,Bishop,1/14/2020,014,0.09, ,0.00, ,292, ,2.2, ,62.5, ,19.0, ,39.7, ,77, ,7, ,26, ,8.1, ,4.6, ,109.6, ,39.2, 
35,Bishop,Bishop,1/15/2020,015,0.06, ,0.00, ,290, ,2.5, ,53.9, ,14.6, ,33.1, ,72, ,16, ,39, ,10.9, ,2.7, ,63.6, ,39.2, 
35,Bishop,Bishop,1/16/2020,016,0.07, ,0.07, ,221, ,3.8, ,61.4, ,16.7, ,35.7, ,96, ,7, ,53, ,20.3, ,4.5, ,107.8, ,38.9, 
35,Bishop,Bishop,1/17/2020,017,0.05, ,0.00, ,270, ,3.5, ,46.6, ,16.8, ,31.9, ,83, ,31, ,57, ,18.5, ,2.3, ,54.2, ,39.3, 
35,Bishop,Bishop,1/18/2020,018,0.04, ,0.00, ,162, ,3.7, ,49.1, ,21.0, ,32.7, ,86, ,26, ,59, ,20.1, ,1.3, ,31.5, ,38.9, 
35,Bishop,Bishop,1/19/2020,019,0.04, ,0.00, ,162, ,4.3, ,53.0, ,21.5, ,36.9, ,87, ,29, ,58, ,23.5, ,1.3, ,31.8, ,38.7, 
35,Bishop,Bishop,1/20/2020,020,0.06, ,0.00, ,226, ,4.2, ,57.9, ,27.4, ,41.8, ,83, ,25, ,47, ,23.2, ,2.5, ,60.9, ,39.7, 
35,Bishop,Bishop,1/21/2020,021,0.06, ,0.00, ,274, ,4.9, ,55.1, ,22.5, ,38.6, ,85, ,37, ,61, ,26.4, ,1.7, ,41.3, ,41.0, 
35,Bishop,Bishop,1/22/2020,022,0.05, ,0.00, ,233, ,5.3, ,62.3, ,27.7, ,41.1, ,87, ,29, ,61, ,28.6, ,1.4, ,33.8, ,41.4, 
35,Bishop,Bishop,1/23/2020,023,0.07, ,0.00, ,284, ,4.6, ,63.6, ,20.8, ,40.3, ,88, ,22, ,54, ,24.9, ,1.5, ,36.9, ,41.5, 
35,Bishop,Bishop,1/24/2020,024,0.07, ,0.00, ,297, ,4.3, ,66.6, ,25.9, ,42.4, ,84, ,16, ,47, ,23.7, ,1.7, ,42.0, ,42.0, 
35,Bishop,Bishop,1/25/2020,025,0.08, ,0.00, ,283, ,3.9, ,63.8, ,24.1, ,43.5, ,77, ,17, ,40, ,21.0, ,2.0, ,47.4, ,42.1, 
35,Bishop,Bishop,1/26/2020,026,0.09, ,0.00, ,299, ,4.1, ,63.4, ,25.4, ,44.3, ,81, ,17, ,42, ,22.5, ,3.1, ,75.2, ,42.7, 
35,Bishop,Bishop,1/27/2020,027,0.09, ,0.00, ,316, ,3.6, ,65.5, ,22.2, ,41.8, ,70, ,19, ,40, ,19.1, ,2.9, ,70.0, ,42.7, 
35,Bishop,Bishop,1/28/2020,028,0.07, ,0.00, ,308, ,3.5, ,62.4, ,20.8, ,41.2, ,81, ,19, ,40, ,18.9, ,2.2, ,52.9, ,42.5, 
35,Bishop,Bishop,1/29/2020,029,0.09, ,0.00, ,335, ,2.9, ,57.8, ,29.3, ,44.3, ,47, ,13, ,29, ,14.1, ,5.1, ,123.4, ,42.7, 
35,Bishop,Bishop,1/30/2020,030,0.09, ,0.00, ,260, ,4.7, ,64.2, ,29.8, ,46.2, ,79, ,29, ,44, ,25.5, ,3.3, ,79.1, ,42.8, 
35,Bishop,Bishop,1/31/2020,031,0.09, ,0.00, ,315, ,4.8, ,71.3, ,24.9, ,45.4, ,86, ,18, ,47, ,26.3, ,1.8, ,42.6, ,43.4, 
35,Bishop,Bishop,2/1/2020,032,0.09, ,0.00, ,344, ,3.9, ,71.7, ,23.9, ,44.0, ,79, ,13, ,40, ,21.2, ,1.9, ,46.2, ,43.7, 
35,Bishop,Bishop,2/2/2020,033,0.12, ,0.00, ,324, ,3.2, ,68.4, ,24.9, ,41.6, ,78, ,10, ,36, ,16.8, ,5.9, ,142.4, ,43.7, 
35,Bishop,Bishop,2/3/2020,034,0.08, ,0.00, ,365,R,1.5, ,39.7, ,16.4, ,29.0, ,54, ,11, ,28, ,0.2, ,6.3, ,151.7, ,42.9, 
35,Bishop,Bishop,2/4/2020,035,0.08, ,0.00, ,353, ,1.3, ,45.7, ,9.6,Y,28.9, ,59, ,11, ,24, ,-3.1, ,5.0, ,119.9, ,40.5, 
35,Bishop,Bishop,2/5/2020,036,0.09, ,0.00, ,208, ,4.0, ,62.6, ,26.8, ,47.2, ,48, ,23, ,37, ,22.0, ,5.4, ,130.2, ,40.4, 
35,Bishop,Bishop,2/6/2020,037,0.11, ,0.00, ,358, ,4.4, ,69.9, ,36.8, ,53.0,Y,64, ,11, ,32,Y,24.1,Y,4.1, ,99.2, ,43.1, 
35,Bishop,Bishop,2/7/2020,038,0.10, ,0.00, ,370, ,2.6, ,71.2, ,25.3, ,47.2, ,56, ,7, ,24, ,12.1, ,2.6, ,63.2, ,44.2, 
35,Bishop,Bishop,2/8/2020,039,0.11, ,0.00, ,373, ,2.7, ,73.5, ,22.3, ,46.7, ,71, ,7, ,25, ,13.0, ,3.9, ,94.7, ,44.0, 
35,Bishop,Bishop,2/9/2020,040,0.09, ,0.00, ,291, ,2.4, ,47.6, ,31.9, ,39.0, ,35, ,21, ,29, ,9.8, ,5.3, ,127.3, ,44.4, 
35,Bishop,Bishop,2/10/2020,041,0.10, ,0.00, ,378, ,2.4, ,58.3, ,18.8, ,40.7, ,62, ,13, ,28, ,9.8, ,4.7, ,113.4, ,43.1, 
35,Bishop,Bishop,2/11/2020,042,0.10, ,0.00, ,379, ,2.3, ,62.9, ,27.0, ,45.3, ,47, ,9, ,22, ,8.9, ,4.4, ,105.9, ,43.4, 
35,Bishop,Bishop,2/12/2020,043,0.11, ,0.00, ,384, ,2.4, ,65.8, ,23.2, ,44.8, ,60, ,10, ,24, ,10.3, ,3.5, ,84.6, ,43.7, 
35,Bishop,Bishop,2/13/2020,044,0.11, ,0.00, ,390, ,2.5, ,62.5, ,15.5, ,40.0, ,73, ,12, ,30, ,11.1, ,3.2, ,76.8, ,43.5, 
35,Bishop,Bishop,2/14/2020,045,0.09, ,0.00, ,363, ,3.0, ,62.1, ,17.1, ,39.5, ,74, ,15, ,36, ,15.0, ,2.0, ,48.9, ,43.4, 
35,Bishop,Bishop,2/15/2020,046,0.11, ,0.00, ,371, ,3.3, ,65.6, ,22.4, ,43.2, ,73, ,15, ,34, ,16.9, ,2.7, ,65.4, ,43.3, 
35,Bishop,Bishop,2/16/2020,047,0.13, ,0.00, ,349, ,4.1, ,74.8, ,27.1, ,50.9, ,69, ,12, ,32, ,22.2, ,4.2, ,100.2, ,44.3, 
35,Bishop,Bishop,2/17/2020,048,0.12, ,0.00, ,390, ,3.4, ,65.0, ,25.6, ,49.3, ,54, ,6, ,28, ,17.8, ,3.8, ,92.1, ,46.1, 
35,Bishop,Bishop,2/18/2020,049,0.12, ,0.00, ,391, ,2.5, ,61.1, ,18.5, ,40.1, ,67, ,13, ,30, ,10.9, ,3.4, ,81.8, ,45.3, 
35,Bishop,Bishop,2/19/2020,050,0.11, ,0.00, ,404, ,2.6, ,62.6, ,19.9, ,41.6, ,70, ,12, ,29, ,12.0, ,2.8, ,66.5, ,44.8, 
35,Bishop,Bishop,2/20/2020,051,0.12, ,0.00, ,408, ,2.7, ,62.5, ,19.1, ,41.4, ,69, ,13, ,30, ,12.6, ,3.7, ,89.8, ,44.5, 
35,Bishop,Bishop,2/21/2020,052,0.09, ,0.00, ,266, ,3.4, ,63.6, ,21.7, ,41.7, ,67, ,17, ,37, ,17.6, ,2.3, ,55.8, ,44.2, 
35,Bishop,Bishop,2/22/2020,053,0.02, ,0.12, ,104, ,6.8, ,48.3, ,33.3, ,41.2, ,98, ,56, ,77, ,34.7, ,1.8, ,44.2, ,44.3, 
35,Bishop,Bishop,2/23/2020,054,0.12, ,0.00, ,427, ,4.8, ,68.4, ,28.2, ,46.2, ,98, ,14, ,45, ,25.9, ,2.8, ,68.2, ,44.4, 
35,Bishop,Bishop,2/24/2020,055,0.15, ,0.00, ,438, ,2.2, ,68.3, ,32.4, ,52.0, ,57, ,4, ,16, ,7.7, ,5.6, ,133.6, ,45.2, 
35,Bishop,Bishop,2/25/2020,056,0.14, ,0.00, ,433, ,2.4, ,68.4, ,31.5, ,49.1, ,38, ,11, ,20, ,9.8, ,3.8, ,91.5, ,45.6, 
35,Bishop,Bishop,2/26/2020,057,0.13, ,0.00, ,441, ,3.3, ,67.1, ,22.6, ,43.7, ,73, ,14, ,34, ,17.2, ,2.8, ,67.8, ,45.7, 
35,Bishop,Bishop,2/27/2020,058,0.14, ,0.01,H,436, ,3.3, ,70.3, ,22.7, ,48.6, ,73, ,11, ,28, ,17.0, ,3.3, ,80.2, ,45.6, 
35,Bishop,Bishop,2/28/2020,059,0.11, ,0.00, ,317, ,3.5, ,68.1, ,27.7, ,50.3, ,64, ,13, ,28, ,18.6, ,2.5, ,60.3, ,46.3, 
35,Bishop,Bishop,2/29/2020,060,0.14, ,0.00, ,318, ,3.2, ,68.0, ,30.0, ,51.4, ,57, ,11, ,25, ,16.6, ,5.1, ,123.3, ,46.8, 
35,Bishop,Bishop,3/1/2020,061,0.07, ,0.00, ,150, ,3.8, ,46.6, ,33.0, ,40.9, ,57, ,37, ,43, ,20.3, ,6.4, ,153.8, ,46.5, 
35,Bishop,Bishop,3/2/2020,062,0.14, ,0.00, ,467, ,2.3, ,55.6, ,27.8, ,41.0, ,49, ,11, ,27, ,9.4, ,6.2, ,148.6, ,45.3, 
35,Bishop,Bishop,3/3/2020,063,0.16, ,0.00, ,462, ,3.4, ,71.3, ,29.3, ,50.3, ,42, ,16, ,28, ,18.2, ,4.8, ,114.8, ,46.0, 
