Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
6,Davis,Sacramento Valley,1/1/2020,001,0.03, ,0.00, ,141, ,10.2, ,55.3, ,41.3, ,47.0, ,99, ,82, ,93, ,45.0, ,2.7, ,64.6, ,48.8, 
6,Davis,Sacramento Valley,1/2/2020,002,0.06, ,0.00, ,219, ,9.1, ,63.4, ,38.5, ,49.0, ,100, ,40, ,77, ,42.0, ,4.2, ,99.6, ,48.2, 
6,Davis,Sacramento Valley,1/3/2020,003,0.04, ,0.00, ,193, ,9.8, ,58.2, ,35.7, ,46.5, ,100, ,70, ,91, ,44.0, ,2.3, ,54.2, ,48.2, 
6,Davis,Sacramento Valley,1/4/2020,004,0.04, ,0.02, ,180, ,10.9, ,56.4, ,41.3, ,48.4, ,100, ,79, ,94, ,46.8, ,4.8, ,115.3, ,49.1, 
6,Davis,Sacramento Valley,1/5/2020,005,0.05, ,0.00, ,237, ,9.0, ,60.6, ,35.7, ,47.5, ,100, ,47, ,80, ,41.8, ,3.5, ,83.3, ,48.4, 
6,Davis,Sacramento Valley,1/6/2020,006,0.06, ,0.00, ,237, ,7.8, ,58.9, ,38.0, ,46.7, ,99, ,50, ,72, ,38.1, ,3.3, ,79.5, ,48.3, 
6,Davis,Sacramento Valley,1/7/2020,007,0.02, ,0.01, ,116, ,8.4, ,46.1, ,33.7, ,40.0, ,100, ,95, ,100, ,40.0, ,3.3, ,80.2, ,46.7, 
6,Davis,Sacramento Valley,1/8/2020,008,0.01, ,0.01, ,69, ,9.7, ,46.9, ,39.3, ,43.8, ,100, ,96, ,99, ,43.6, ,3.2, ,76.8, ,47.7, 
6,Davis,Sacramento Valley,1/9/2020,009,0.02, ,0.29, ,98, ,9.9, ,52.1, ,42.6, ,47.2, ,100, ,64, ,90, ,44.3, ,6.0, ,145.1, ,48.3, 
6,Davis,Sacramento Valley,1/10/2020,010,0.05, ,0.00, ,249, ,7.9, ,54.2, ,34.0, ,44.7, ,96, ,58, ,79, ,38.5, ,4.7, ,113.2, ,47.0, 
6,Davis,Sacramento Valley,1/11/2020,011,0.05, ,0.00, ,234, ,9.4, ,58.9, ,41.0, ,49.2, ,98, ,56, ,79, ,43.0, ,4.3, ,103.4, ,48.5, 
6,Davis,Sacramento Valley,1/12/2020,012,0.04, ,0.00, ,180, ,8.4, ,54.6, ,35.8, ,44.6, ,97, ,61, ,84, ,40.1, ,4.1, ,99.1, ,47.0, 
6,Davis,Sacramento Valley,1/13/2020,013,0.06, ,0.00, ,236, ,9.3, ,58.2, ,37.4, ,48.7, ,96, ,57, ,80, ,42.7, ,6.6, ,159.1, ,48.2, 
6,Davis,Sacramento Valley,1/14/2020,014,0.06, ,0.04, ,238, ,8.7, ,56.6, ,38.3, ,48.5, ,98, ,51, ,75, ,40.8, ,5.9, ,140.5, ,49.0, 
