Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
251,Highland,Los Angeles Basin,1/1/2020,001,0.07, ,0.00, ,266, ,6.3, ,65.0, ,39.7, ,51.2, ,70, ,27, ,49, ,32.6, ,3.1, ,73.4, ,50.0, 
251,Highland,Los Angeles Basin,1/2/2020,002,0.08, ,0.00, ,258, ,7.4, ,69.4, ,38.8, ,53.1, ,90, ,26, ,54, ,36.9, ,3.5, ,85.1, ,50.1, 
251,Highland,Los Angeles Basin,1/3/2020,003,0.08, ,0.00, ,256, ,7.0, ,73.1, ,42.5, ,55.7, ,72, ,24, ,46, ,35.3, ,2.5, ,60.3, ,50.5, 
251,Highland,Los Angeles Basin,1/4/2020,004,0.07, ,0.00, ,269, ,7.7, ,70.7, ,40.7, ,53.5, ,81, ,27, ,55, ,37.8, ,2.3, ,54.1, ,50.7, 
251,Highland,Los Angeles Basin,1/5/2020,005,0.09, ,0.00, ,284, ,6.5, ,71.9, ,39.8, ,54.2, ,75, ,19, ,45, ,33.6, ,3.6, ,86.9, ,50.7, 
251,Highland,Los Angeles Basin,1/6/2020,006,0.09, ,0.00, ,288, ,4.8, ,73.7, ,41.7, ,55.1, ,53, ,13, ,32, ,26.1, ,3.1, ,73.3, ,50.6, 
251,Highland,Los Angeles Basin,1/7/2020,007,0.08, ,0.00, ,255, ,5.3, ,76.3, ,39.0, ,54.2, ,58, ,14, ,37, ,28.4, ,2.3, ,55.2, ,50.4, 
251,Highland,Los Angeles Basin,1/8/2020,008,0.07, ,0.03, ,266, ,7.3, ,61.8, ,37.6, ,50.6, ,88, ,32, ,58, ,36.5, ,3.2, ,77.1, ,50.2, 
251,Highland,Los Angeles Basin,1/9/2020,009,0.02, ,0.02, ,83, ,9.3, ,56.6, ,40.7, ,49.9, ,89, ,55, ,76, ,42.7, ,3.3, ,79.7, ,51.0, 
251,Highland,Los Angeles Basin,1/10/2020,010,0.07, ,0.00, ,284, ,6.1, ,66.2, ,36.5, ,49.5, ,82, ,21, ,50, ,31.8, ,3.1, ,75.0, ,50.3, 
251,Highland,Los Angeles Basin,1/11/2020,011,0.07, ,0.00, ,274, ,6.9, ,60.7, ,35.3, ,47.9, ,78, ,37, ,60, ,35.0, ,2.9, ,70.3, ,49.8, 
251,Highland,Los Angeles Basin,1/12/2020,012,0.06, ,0.00, ,275, ,7.9, ,61.7, ,37.9, ,48.3, ,86, ,44, ,69, ,38.5, ,2.4, ,57.3, ,49.8, 
251,Highland,Los Angeles Basin,1/13/2020,013,0.06, ,0.00, ,249, ,8.7, ,60.8, ,41.5, ,50.3, ,87, ,51, ,70, ,40.9, ,2.1, ,50.5, ,50.5, 
251,Highland,Los Angeles Basin,1/14/2020,014,0.06, ,0.00, ,260, ,8.4, ,61.4, ,37.0, ,47.9, ,93, ,47, ,74, ,39.9, ,2.2, ,52.7, ,50.2, 
251,Highland,Los Angeles Basin,1/15/2020,015,0.07, ,0.00, ,281, ,7.5, ,68.1, ,37.0, ,49.8, ,94, ,27, ,61, ,37.1, ,2.3, ,56.2, ,50.0, 
251,Highland,Los Angeles Basin,1/16/2020,016,0.07, ,0.00, ,274, ,7.8, ,59.8, ,35.7, ,48.7, ,84, ,50, ,66, ,38.0, ,4.5, ,109.1, ,49.7, 
251,Highland,Los Angeles Basin,1/17/2020,017,0.05, ,0.04, ,229, ,9.4, ,60.5, ,41.7, ,50.5, ,97, ,48, ,75, ,42.9, ,2.7, ,64.3, ,50.7, 
251,Highland,Los Angeles Basin,1/18/2020,018,0.08, ,0.00, ,281, ,6.5, ,70.0, ,37.6, ,51.9, ,85, ,21, ,49, ,33.4, ,2.1, ,50.2, ,50.5, 
251,Highland,Los Angeles Basin,1/19/2020,019,0.08, ,0.00, ,239, ,6.3, ,75.0, ,39.9, ,56.4, ,66, ,18, ,41, ,32.8, ,2.8, ,67.6, ,50.5, 
251,Highland,Los Angeles Basin,1/20/2020,020,0.05, ,0.00, ,137, ,7.8, ,63.5, ,47.8, ,55.3, ,66, ,41, ,53, ,38.3, ,3.0, ,71.3, ,51.4, 
251,Highland,Los Angeles Basin,1/21/2020,021,0.02, ,0.00, ,98, ,10.9, ,57.5, ,50.1, ,53.2, ,88, ,69, ,79, ,46.8, ,2.8, ,68.2, ,52.1, 
251,Highland,Los Angeles Basin,1/22/2020,022,0.06, ,0.00, ,262, ,10.6, ,63.6, ,46.4, ,53.6, ,92, ,54, ,76, ,46.2, ,2.3, ,55.6, ,52.9, 
251,Highland,Los Angeles Basin,1/23/2020,023,0.10, ,0.00, ,311, ,8.0, ,76.3, ,43.8, ,58.6, ,85, ,25, ,48, ,38.8, ,2.9, ,68.6, ,52.9, 
251,Highland,Los Angeles Basin,1/24/2020,024,0.10, ,0.00, ,289, ,7.3, ,74.8, ,44.7, ,57.6, ,71, ,22, ,45, ,36.6, ,2.8, ,66.3, ,53.1, 
251,Highland,Los Angeles Basin,1/25/2020,025,0.09, ,0.00, ,302, ,8.0, ,76.8, ,43.4, ,58.8, ,75, ,23, ,47, ,38.7, ,2.7, ,64.1, ,53.0, 
251,Highland,Los Angeles Basin,1/26/2020,026,0.05, ,0.00, ,240, ,10.7, ,61.8, ,43.0, ,51.7, ,92, ,65, ,82, ,46.3, ,3.2, ,76.7, ,53.2, 
251,Highland,Los Angeles Basin,1/27/2020,027,0.09, ,0.00, ,312, ,8.7, ,74.0, ,41.3, ,56.9, ,95, ,26, ,55, ,41.0, ,3.3, ,78.5, ,53.5, 
251,Highland,Los Angeles Basin,1/28/2020,028,0.10, ,0.00, ,320, ,7.0, ,74.0, ,44.3, ,57.6, ,66, ,23, ,43, ,35.2, ,3.0, ,72.7, ,53.4, 
251,Highland,Los Angeles Basin,1/29/2020,029,0.18, ,0.00, ,316, ,4.1, ,67.2, ,48.3, ,60.7, ,37, ,16, ,23, ,22.5, ,9.1,Y,217.4,Y,52.9, 
251,Highland,Los Angeles Basin,1/30/2020,030,0.12, ,0.00, ,298, ,4.2, ,73.6, ,41.3, ,58.3, ,41, ,13, ,25, ,23.0, ,3.6, ,85.7, ,52.1, 
251,Highland,Los Angeles Basin,1/31/2020,031,0.11, ,0.00, ,336, ,5.4, ,78.8, ,44.9, ,60.8, ,49, ,15, ,30, ,28.9, ,3.2, ,77.5, ,52.6, 
251,Highland,Los Angeles Basin,2/1/2020,032,0.12, ,0.00, ,343, ,5.9, ,84.3, ,46.3, ,63.1, ,51, ,13, ,30, ,31.2, ,2.7, ,65.3, ,53.1, 
251,Highland,Los Angeles Basin,2/2/2020,033,0.12, ,0.00, ,343, ,7.9, ,76.6, ,46.5, ,59.7, ,85, ,23, ,45, ,38.6, ,4.3, ,102.7, ,53.6, 
251,Highland,Los Angeles Basin,2/3/2020,034,0.20, ,0.03, ,353, ,2.5, ,55.9, ,44.3, ,50.8, ,86, ,9, ,20, ,11.3, ,13.4,R,320.8,R,52.8, 
251,Highland,Los Angeles Basin,2/4/2020,035,0.14, ,0.00, ,363, ,1.3,Y,54.6, ,37.9, ,47.0, ,18, ,6, ,12,Y,-2.5,Y,7.9,Y,190.1,Y,49.9, 
251,Highland,Los Angeles Basin,2/5/2020,036,0.10, ,0.04, ,312, ,2.9, ,61.5, ,32.5,Y,45.8, ,55, ,13, ,27, ,14.1, ,3.2, ,75.7, ,48.4, 
251,Highland,Los Angeles Basin,2/6/2020,037,0.09, ,0.00, ,343, ,5.4, ,66.1, ,36.8, ,49.7, ,73, ,25, ,44, ,28.9, ,2.6, ,61.2, ,48.3, 
