Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
75,Irvine,South Coast Valleys,10/9/2015,282,0.19,R,0.00, ,420, ,14.1, ,103.3,Y,63.4, ,82.1,R,75,H,14,H,,R,,I,3.6, ,86.5, ,72.6, 
75,Irvine,South Coast Valleys,10/10/2015,283,0.20,R,0.00, ,419, ,11.9, ,99.7,Y,,R,,S,39,H,17,H,,Q,,Q,4.2, ,99.8, ,72.8, 
75,Irvine,South Coast Valleys,10/11/2015,284,0.19,R,0.00, ,404, ,13.8, ,96.8,Y,65.9,Y,81.6,R,59, ,23, ,,R,,I,3.6, ,85.7, ,73.0, 
75,Irvine,South Coast Valleys,10/12/2015,285,0.11, ,0.00, ,250, ,15.1, ,92.1, ,66.0,Y,80.5,Y,62,H,30,H,43,Y,55.7,Y,2.9, ,70.4, ,73.2, 
75,Irvine,South Coast Valleys,10/13/2015,286,0.15,R,0.00, ,386, ,21.0, ,88.1, ,70.3,R,79.4,Y,90,H,50,H,61,Y,65.0,Y,3.8, ,91.2, ,73.7, 
75,Irvine,South Coast Valleys,10/14/2015,287,0.11, ,0.00, ,340, ,23.5,Y,86.4, ,68.4,Y,76.3,Y,93, ,58, ,76,Y,68.1,Y,3.1, ,74.1, ,74.3, 
75,Irvine,South Coast Valleys,10/15/2015,288,0.05, ,0.00, ,182, ,22.5,Y,79.9, ,68.5,Y,72.6, ,94, ,66, ,82,Y,66.9,Y,3.0, ,72.8, ,74.5, 
75,Irvine,South Coast Valleys,10/16/2015,289,0.05, ,0.04, ,164, ,21.6, ,77.3, ,66.6,Y,71.5, ,100, ,69, ,82, ,65.7, ,3.2, ,77.9, ,74.1, 
75,Irvine,South Coast Valleys,10/17/2015,290,0.08, ,0.00, ,275, ,21.2, ,80.2, ,,S,73.7, ,94, ,62, ,75, ,65.2, ,4.4, ,104.5, ,74.0, 
75,Irvine,South Coast Valleys,10/18/2015,291,0.06, ,0.03, ,214, ,20.6, ,78.1, ,63.3, ,70.1, ,100, ,64, ,82, ,64.4, ,3.4, ,81.7, ,73.9, 
75,Irvine,South Coast Valleys,10/19/2015,292,0.10, ,0.06, ,305, ,16.2, ,75.0, ,61.9, ,67.6, ,100, ,51, ,70, ,57.6, ,4.2, ,100.2, ,72.8, 
75,Irvine,South Coast Valleys,10/20/2015,293,0.12, ,0.00, ,381, ,15.8, ,77.0, ,59.0, ,67.6, ,85, ,53, ,68, ,56.8, ,3.7, ,89.8, ,72.0, 
75,Irvine,South Coast Valleys,10/21/2015,294,0.12, ,0.04, ,381, ,17.3, ,80.4, ,58.6, ,68.7, ,100, ,51, ,72, ,59.5, ,3.5, ,84.0, ,71.5, 
75,Irvine,South Coast Valleys,10/22/2015,295,0.12, ,0.00, ,380, ,18.0, ,79.6, ,58.4, ,68.6, ,93, ,52, ,75, ,60.5, ,3.1, ,74.0, ,71.3, 
75,Irvine,South Coast Valleys,10/23/2015,296,0.11, ,0.02, ,352, ,17.2, ,81.5, ,55.9, ,67.1, ,100, ,48, ,76, ,59.2, ,2.9, ,69.4, ,70.9, 
75,Irvine,South Coast Valleys,10/24/2015,297,0.15, ,0.00, ,371, ,11.1, ,87.5, ,58.6, ,72.0, ,63, ,22, ,41, ,47.3, ,3.2, ,76.4, ,70.4, 
75,Irvine,South Coast Valleys,10/25/2015,298,0.09, ,0.03, ,215, ,10.9, ,86.3, ,52.6, ,70.3, ,84, ,24, ,43, ,46.9, ,2.5, ,59.7, ,69.6, 
75,Irvine,South Coast Valleys,10/26/2015,299,0.14, ,0.04, ,385, ,12.4, ,86.4, ,52.2, ,69.0, ,91, ,28, ,51, ,50.2, ,3.0, ,71.2, ,68.9, 
75,Irvine,South Coast Valleys,10/27/2015,300,0.11, ,0.00, ,317, ,12.8, ,83.4, ,54.8, ,68.7, ,77, ,33, ,53, ,51.1, ,2.9, ,69.6, ,68.6, 
75,Irvine,South Coast Valleys,10/28/2015,301,0.08, ,0.04, ,229, ,14.3, ,78.7, ,53.3, ,68.5, ,92, ,27, ,60, ,54.1, ,3.6, ,85.6, ,68.6, 
75,Irvine,South Coast Valleys,10/29/2015,302,0.13, ,0.00, ,354, ,13.6, ,82.8, ,59.8, ,69.3, ,91, ,31, ,56, ,52.8, ,4.1, ,97.2, ,68.7, 
75,Irvine,South Coast Valleys,10/30/2015,303,0.22, ,0.00, ,375, ,5.4, ,87.5, ,58.4, ,74.6,Y,56, ,7, ,19,Y,29.1,Y,7.4,R,177.0,R,67.5, 
75,Irvine,South Coast Valleys,10/31/2015,304,0.15, ,0.00, ,367, ,7.1, ,88.1, ,58.1, ,71.3, ,47, ,12, ,27, ,35.6, ,3.2, ,77.2, ,66.4, 
75,Irvine,South Coast Valleys,11/1/2015,305,0.13, ,0.01, ,361, ,9.5, ,82.7, ,49.0, ,67.5, ,84, ,23, ,41, ,43.2, ,3.0, ,70.8, ,66.1, 
75,Irvine,South Coast Valleys,11/2/2015,306,0.08, ,0.11, ,269, ,14.7, ,72.8, ,53.9, ,62.9, ,100, ,59, ,75, ,54.8, ,4.5, ,109.0, ,65.9, 
75,Irvine,South Coast Valleys,11/3/2015,307,0.10, ,0.00, ,332, ,10.8, ,67.6, ,50.9, ,58.9, ,90, ,41, ,64, ,46.7, ,3.8, ,90.0, ,65.8, 
75,Irvine,South Coast Valleys,11/4/2015,308,0.11, ,0.02, ,333, ,9.1, ,67.9, ,47.0, ,57.4, ,99, ,32, ,57, ,42.2, ,4.1, ,98.6, ,64.6, 
75,Irvine,South Coast Valleys,11/5/2015,309,0.12, ,0.00, ,344, ,6.5, ,71.5, ,46.5, ,58.5, ,57, ,20, ,39, ,33.5, ,3.1, ,74.4, ,63.3, 
75,Irvine,South Coast Valleys,11/6/2015,310,0.17, ,0.03, ,348, ,4.8, ,78.7, ,42.4, ,65.3, ,90, ,11, ,22, ,26.1, ,5.4, ,129.6, ,62.4, 
75,Irvine,South Coast Valleys,11/7/2015,311,0.17, ,0.00, ,351, ,4.5, ,80.1, ,53.9, ,68.2, ,39, ,12, ,19, ,24.4, ,5.3, ,128.0, ,62.0, 
75,Irvine,South Coast Valleys,11/8/2015,312,0.12, ,0.00, ,340, ,8.5, ,76.0, ,46.7, ,62.0, ,79, ,23, ,45, ,40.2, ,3.3, ,80.0, ,61.7, 
75,Irvine,South Coast Valleys,11/9/2015,313,0.05, ,0.01, ,196, ,12.2, ,67.5, ,51.8, ,59.9, ,96, ,48, ,69, ,49.8, ,4.2, ,100.3, ,61.8, 
75,Irvine,South Coast Valleys,11/10/2015,314,0.10, ,0.01, ,332, ,9.1, ,66.0, ,48.7, ,56.5, ,92, ,35, ,58, ,42.1, ,3.8, ,91.4, ,61.6, 
75,Irvine,South Coast Valleys,11/11/2015,315,0.12, ,0.00, ,345, ,5.2, ,77.6, ,41.1, ,58.9, ,81, ,7, ,31, ,28.1, ,3.5, ,84.0, ,60.6, 
75,Irvine,South Coast Valleys,11/12/2015,316,0.13, ,0.00, ,339, ,4.6, ,75.1, ,44.2, ,60.3, ,41, ,17, ,26, ,25.0, ,3.4, ,82.3, ,59.6, 
75,Irvine,South Coast Valleys,11/13/2015,317,0.12, ,0.00, ,332, ,6.7, ,76.6, ,38.1, ,60.1, ,85, ,17, ,38, ,34.3, ,3.2, ,76.7, ,59.1, 
75,Irvine,South Coast Valleys,11/14/2015,318,0.12, ,0.00, ,332, ,5.2, ,77.0, ,46.4, ,59.9, ,41, ,14, ,30, ,28.2, ,3.0, ,72.6, ,59.1, 
75,Irvine,South Coast Valleys,11/15/2015,319,0.08, ,0.02, ,193, ,10.1, ,70.7, ,45.5, ,59.1, ,86, ,28, ,59, ,44.9, ,5.1, ,122.3, ,59.1, 
75,Irvine,South Coast Valleys,11/16/2015,320,0.11, ,0.00, ,291, ,5.4, ,63.7, ,42.3, ,53.2, ,60, ,20, ,39, ,29.1, ,5.2, ,124.6, ,58.6, 
75,Irvine,South Coast Valleys,11/17/2015,321,0.13, ,0.00, ,299, ,4.0, ,72.3, ,43.2, ,57.7, ,47, ,7, ,24, ,21.5, ,4.5, ,108.9, ,57.3, 
75,Irvine,South Coast Valleys,11/18/2015,322,0.10, ,0.00, ,302, ,7.0, ,75.5, ,43.2, ,59.0, ,62, ,26, ,41, ,35.4, ,3.0, ,73.1, ,56.9, 
75,Irvine,South Coast Valleys,11/19/2015,323,0.11, ,0.00, ,309, ,7.0, ,81.6, ,46.3, ,62.7, ,57, ,15, ,36, ,35.5, ,2.7, ,66.0, ,57.5, 
75,Irvine,South Coast Valleys,11/20/2015,324,0.12, ,0.00, ,296, ,6.8, ,81.6, ,46.5, ,66.8, ,67, ,17, ,30, ,34.5, ,3.3, ,78.2, ,57.8, 
75,Irvine,South Coast Valleys,11/21/2015,325,0.16,H,0.00, ,298, ,5.3, ,87.5,Y,57.5, ,75.6,Y,36,H,10,H,18,Y,28.7,Y,5.2, ,124.3, ,58.6, 
75,Irvine,South Coast Valleys,11/22/2015,326,0.14,R,0.00, ,302, ,4.1, ,84.7, ,57.7, ,71.2,Y,27, ,10, ,16,Y,22.2,Y,3.5, ,83.6, ,59.1, 
75,Irvine,South Coast Valleys,11/23/2015,327,0.12, ,0.00, ,295, ,5.6, ,80.4, ,45.5, ,64.1, ,76, ,17, ,27, ,29.9, ,3.1, ,75.2, ,58.8, 
75,Irvine,South Coast Valleys,11/24/2015,328,0.08, ,0.00, ,258, ,10.8, ,68.8, ,50.0, ,59.1, ,74, ,40, ,63, ,46.5, ,3.8, ,92.1, ,58.6, 
75,Irvine,South Coast Valleys,11/25/2015,329,0.08, ,0.10, ,283, ,9.7, ,62.1, ,46.9, ,54.7, ,99, ,46, ,66, ,43.7, ,4.2, ,100.7, ,59.0, 
75,Irvine,South Coast Valleys,11/26/2015,330,0.06, ,0.00, ,224, ,8.6, ,62.5, ,46.9, ,53.3, ,74, ,46, ,62, ,40.7, ,3.8, ,91.1, ,58.3, 
