Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
229,Laguna Seca,Monterey Bay,1/1/2020,001,0.03, ,0.00, ,159, ,11.9, ,58.2, ,39.0, ,50.5, ,99, ,79, ,95, ,49.1, ,3.0, ,71.7, ,51.1, 
229,Laguna Seca,Monterey Bay,1/2/2020,002,0.06, ,0.00, ,246, ,10.8, ,63.5, ,40.1, ,50.1, ,99, ,60, ,88, ,46.6, ,2.4, ,56.9, ,52.8, 
229,Laguna Seca,Monterey Bay,1/3/2020,003,0.06, ,0.00, ,259, ,8.6, ,68.9, ,35.9, ,47.8, ,97, ,42, ,76, ,40.7, ,2.5, ,59.5, ,52.2, 
229,Laguna Seca,Monterey Bay,1/4/2020,004,0.04, ,0.00, ,168, ,10.9, ,61.1, ,39.3, ,49.7, ,100, ,71, ,90, ,46.8, ,2.5, ,60.5, ,52.1, 
229,Laguna Seca,Monterey Bay,1/5/2020,005,0.06, ,0.00, ,264, ,8.7, ,59.3, ,36.4, ,46.0, ,99, ,49, ,83, ,41.0, ,2.4, ,58.0, ,52.4, 
229,Laguna Seca,Monterey Bay,1/6/2020,006,0.07, ,0.00, ,268, ,7.5, ,65.0, ,34.8, ,46.5, ,99, ,30, ,69, ,37.0, ,2.8, ,67.5, ,51.2, 
229,Laguna Seca,Monterey Bay,1/7/2020,007,0.05, ,0.00, ,231, ,8.7, ,59.5, ,34.6, ,46.7, ,93, ,56, ,80, ,40.8, ,3.0, ,72.2, ,50.7, 
229,Laguna Seca,Monterey Bay,1/8/2020,008,0.04, ,0.02, ,195, ,10.7, ,57.5, ,42.0, ,49.9, ,99, ,72, ,87, ,46.3, ,2.4, ,57.3, ,51.9, 
229,Laguna Seca,Monterey Bay,1/9/2020,009,0.03, ,0.07, ,127, ,9.7, ,56.8, ,34.8, ,46.6, ,99, ,70, ,90, ,43.8, ,3.5, ,83.6, ,52.3, 
229,Laguna Seca,Monterey Bay,1/10/2020,010,0.06, ,0.00, ,268, ,8.4, ,61.0, ,32.7, ,45.0, ,99, ,50, ,83, ,40.2, ,2.4, ,58.7, ,50.9, 
229,Laguna Seca,Monterey Bay,1/11/2020,011,0.05, ,0.00, ,231, ,9.7, ,56.1, ,36.7, ,48.0, ,99, ,69, ,85, ,43.7, ,3.2, ,77.3, ,51.8, 
229,Laguna Seca,Monterey Bay,1/12/2020,012,0.06, ,0.00, ,276, ,8.4, ,54.9, ,33.1, ,44.3, ,99, ,54, ,85, ,39.9, ,2.4, ,58.0, ,51.3, 
229,Laguna Seca,Monterey Bay,1/13/2020,013,0.06, ,0.00, ,282, ,9.0, ,56.9, ,36.7, ,46.3, ,99, ,60, ,84, ,41.7, ,2.5, ,60.1, ,51.7, 
229,Laguna Seca,Monterey Bay,1/14/2020,014,0.06, ,0.08, ,268, ,9.0, ,55.0, ,34.0, ,45.9, ,99, ,57, ,86, ,41.8, ,2.7, ,63.7, ,51.9, 
229,Laguna Seca,Monterey Bay,1/15/2020,015,0.06, ,0.00, ,285, ,7.5, ,58.5, ,30.7, ,41.5, ,99, ,55, ,84, ,37.0, ,2.6, ,62.4, ,51.0, 
229,Laguna Seca,Monterey Bay,1/16/2020,016,0.02, ,0.65, ,101, ,8.6, ,58.5, ,35.1, ,45.1, ,99, ,58, ,85, ,40.7, ,3.8, ,91.2, ,50.4, 
229,Laguna Seca,Monterey Bay,1/17/2020,017,0.06, ,0.01,H,276, ,8.1, ,56.9, ,34.9, ,43.3, ,99, ,55, ,85, ,39.0, ,2.6, ,61.5, ,49.5, 
229,Laguna Seca,Monterey Bay,1/18/2020,018,0.04, ,0.00, ,199, ,8.0, ,54.7, ,34.3, ,42.4, ,98, ,63, ,87, ,38.7, ,2.5, ,59.3, ,49.5, 
229,Laguna Seca,Monterey Bay,1/19/2020,019,0.03, ,0.00, ,138, ,8.3, ,63.7, ,33.2, ,45.5, ,98, ,47, ,80, ,39.6, ,2.5, ,60.0, ,48.9, 
229,Laguna Seca,Monterey Bay,1/20/2020,020,0.02, ,0.03, ,81, ,9.8, ,55.3, ,39.0, ,48.3, ,99, ,65, ,85, ,44.0, ,2.0, ,48.7, ,49.7, 
229,Laguna Seca,Monterey Bay,1/21/2020,021,0.05, ,0.02, ,203, ,10.7, ,62.0, ,36.5, ,49.6, ,99, ,66, ,89, ,46.4, ,2.2, ,53.4, ,50.2, 
229,Laguna Seca,Monterey Bay,1/22/2020,022,0.03, ,0.00,R,231, ,12.4, ,62.4, ,41.6, ,52.8, ,99, ,75, ,91, ,50.2, ,2.4, ,58.1, ,52.7, 
229,Laguna Seca,Monterey Bay,1/23/2020,023,0.07, ,0.00, ,283, ,11.2, ,68.2, ,40.3, ,51.2, ,99, ,62, ,87, ,47.5, ,2.4, ,58.6, ,52.8, 
229,Laguna Seca,Monterey Bay,1/24/2020,024,0.07, ,0.00, ,298, ,11.5, ,68.5, ,41.5, ,51.9, ,99, ,56, ,87, ,48.2, ,2.6, ,61.5, ,53.4, 
229,Laguna Seca,Monterey Bay,1/25/2020,025,0.06, ,0.00, ,257, ,12.5, ,67.7, ,42.1, ,53.6, ,99, ,65, ,89, ,50.5, ,2.6, ,63.1, ,53.7, 
229,Laguna Seca,Monterey Bay,1/26/2020,026,0.03, ,0.09, ,151, ,13.1, ,59.7, ,39.8, ,52.8, ,99, ,80, ,96, ,51.7, ,2.6, ,62.9, ,55.1, 
229,Laguna Seca,Monterey Bay,1/27/2020,027,0.07, ,0.00, ,305, ,10.5, ,60.5, ,37.4, ,48.8, ,99, ,61, ,89, ,45.8, ,2.4, ,57.0, ,53.9, 
229,Laguna Seca,Monterey Bay,1/28/2020,028,0.06, ,0.00, ,243, ,11.3, ,63.3, ,41.4, ,52.0, ,98, ,62, ,86, ,47.9, ,2.5, ,59.6, ,54.2, 
229,Laguna Seca,Monterey Bay,1/29/2020,029,0.07, ,0.00, ,288, ,10.0, ,62.5, ,37.6, ,48.3, ,99, ,56, ,87, ,44.5, ,2.6, ,62.2, ,54.2, 
229,Laguna Seca,Monterey Bay,1/30/2020,030,0.04, ,0.00, ,170, ,11.5, ,62.3, ,40.0, ,49.2, ,99, ,78, ,96, ,48.2, ,2.7, ,65.7, ,53.6, 
229,Laguna Seca,Monterey Bay,1/31/2020,031,0.07, ,0.00, ,283, ,11.3, ,71.5, ,42.3, ,52.8, ,99, ,51, ,83, ,47.9, ,2.8, ,66.6, ,53.8, 
229,Laguna Seca,Monterey Bay,2/1/2020,032,0.08, ,0.00, ,335, ,11.4, ,69.9, ,39.6, ,51.7, ,99, ,57, ,87, ,47.9, ,2.5, ,60.0, ,54.1, 
229,Laguna Seca,Monterey Bay,2/2/2020,033,0.08, ,0.00, ,298, ,9.4, ,55.3, ,43.8, ,49.5, ,99, ,57, ,78, ,42.8, ,5.8, ,140.1, ,54.9, 
229,Laguna Seca,Monterey Bay,2/3/2020,034,0.08, ,0.00, ,359,R,6.0, ,54.0, ,28.6, ,40.8, ,97, ,34, ,69, ,31.5, ,3.4, ,80.5, ,53.2, 
229,Laguna Seca,Monterey Bay,2/4/2020,035,0.08, ,0.00, ,348, ,4.4,Y,55.7, ,24.8,Y,38.3,Y,92, ,22, ,55,Y,23.8,Y,3.3, ,78.9, ,51.3, 
229,Laguna Seca,Monterey Bay,2/5/2020,036,0.08, ,0.00, ,330, ,6.0, ,61.0, ,29.7, ,43.0, ,92, ,26, ,64, ,31.7, ,2.6, ,61.7, ,50.5, 
229,Laguna Seca,Monterey Bay,2/6/2020,037,0.09, ,0.00, ,356, ,8.3, ,65.8, ,33.4, ,45.9, ,98, ,45, ,79, ,39.6, ,2.6, ,62.5, ,51.2, 
229,Laguna Seca,Monterey Bay,2/7/2020,038,0.09, ,0.00, ,366, ,9.4, ,66.3, ,31.6, ,46.4, ,99, ,60, ,88, ,43.0, ,2.5, ,60.1, ,51.9, 
229,Laguna Seca,Monterey Bay,2/8/2020,039,0.07, ,0.00, ,294, ,9.8, ,58.2, ,35.1, ,47.1, ,99, ,72, ,89, ,44.1, ,3.2, ,75.8, ,52.8, 
229,Laguna Seca,Monterey Bay,2/9/2020,040,0.11, ,0.00, ,373, ,5.6,Y,64.7, ,31.2, ,46.3, ,99, ,17, ,53,Y,30.0,Y,3.7, ,88.9, ,52.3, 
229,Laguna Seca,Monterey Bay,2/10/2020,041,0.10, ,0.00, ,393,R,5.5,Y,68.4, ,30.9, ,46.4, ,81, ,19, ,51,Y,29.4,Y,2.8, ,67.8, ,51.7, 
229,Laguna Seca,Monterey Bay,2/11/2020,042,0.11, ,0.00, ,391,R,6.1, ,71.2, ,33.9, ,49.8, ,85, ,19, ,50, ,31.8, ,3.2, ,76.5, ,51.9, 
229,Laguna Seca,Monterey Bay,2/12/2020,043,0.10, ,0.00, ,398,R,8.3, ,67.1, ,33.0, ,47.3, ,98, ,38, ,75, ,39.7, ,2.8, ,66.9, ,52.4, 
229,Laguna Seca,Monterey Bay,2/13/2020,044,0.08, ,0.00, ,333, ,10.1, ,57.3, ,41.2, ,48.7, ,98, ,70, ,87, ,44.9, ,2.5, ,58.8, ,53.3, 
229,Laguna Seca,Monterey Bay,2/14/2020,045,0.06, ,0.00, ,283, ,9.7, ,60.3, ,36.3, ,47.8, ,98, ,67, ,86, ,43.8, ,2.5, ,60.6, ,54.0, 
229,Laguna Seca,Monterey Bay,2/15/2020,046,0.09, ,0.00, ,377, ,9.2, ,61.9, ,33.8, ,46.2, ,99, ,60, ,86, ,42.3, ,2.8, ,67.6, ,53.5, 
229,Laguna Seca,Monterey Bay,2/16/2020,047,0.09, ,0.00, ,367, ,9.9, ,61.1, ,34.3, ,48.2, ,99, ,61, ,86, ,44.3, ,3.0, ,71.7, ,53.6, 
229,Laguna Seca,Monterey Bay,2/17/2020,048,0.10, ,0.00, ,378, ,9.6, ,66.4, ,37.0, ,49.8, ,99, ,51, ,78, ,43.4, ,2.7, ,64.1, ,54.2, 
229,Laguna Seca,Monterey Bay,2/18/2020,049,0.11, ,0.00, ,419,R,7.7, ,68.3, ,33.4, ,47.3, ,99, ,24, ,69, ,37.8, ,2.7, ,65.6, ,54.2, 
229,Laguna Seca,Monterey Bay,2/19/2020,050,0.10, ,0.00, ,420,R,8.6, ,64.3, ,31.6, ,45.9, ,99, ,55, ,82, ,40.6, ,2.6, ,63.0, ,54.0, 
229,Laguna Seca,Monterey Bay,2/20/2020,051,0.11, ,0.00, ,409, ,8.2, ,69.5, ,33.2, ,48.9, ,100, ,29, ,70, ,39.5, ,2.7, ,65.6, ,54.1, 
229,Laguna Seca,Monterey Bay,2/21/2020,052,0.08, ,0.00, ,236, ,8.8, ,70.7, ,38.5, ,54.7, ,89, ,34, ,60, ,41.2, ,2.9, ,70.5, ,54.4, 
229,Laguna Seca,Monterey Bay,2/22/2020,053,0.03, ,0.00, ,147, ,10.8, ,59.9, ,41.6, ,51.5, ,93, ,61, ,83, ,46.6, ,3.4, ,81.9, ,54.7, 
229,Laguna Seca,Monterey Bay,2/23/2020,054,0.04, ,0.01, ,194, ,11.1, ,57.1, ,44.8, ,51.4, ,94, ,77, ,86, ,47.3, ,3.4, ,81.0, ,54.7, 
229,Laguna Seca,Monterey Bay,2/24/2020,055,0.11, ,0.00, ,440,R,9.9, ,66.8, ,35.8, ,49.2, ,99, ,56, ,83, ,44.2, ,2.7, ,65.0, ,55.0, 
229,Laguna Seca,Monterey Bay,2/25/2020,056,0.13,R,0.00, ,444,R,7.8, ,75.8,Y,37.1, ,53.0, ,97, ,20, ,57, ,38.3, ,3.2, ,77.0, ,55.6, 
229,Laguna Seca,Monterey Bay,2/26/2020,057,0.10,R,0.00, ,448,R,7.6, ,78.5,Y,38.3, ,55.5,H,83,H,23,H,51, ,37.4, ,3.2, ,77.3, ,56.4, 
229,Laguna Seca,Monterey Bay,2/27/2020,058,0.13,R,0.00, ,584,R,10.8, ,78.8,Y,47.7, ,62.8,Y,89, ,32, ,55,Y,46.5,Y,3.0, ,72.6, ,56.6, 
229,Laguna Seca,Monterey Bay,2/28/2020,059,0.11,R,0.00, ,368, ,11.0, ,76.5,Y,44.1, ,55.8, ,96, ,35, ,73, ,47.2, ,3.2, ,76.4, ,57.6, 
