Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
256,Lancaster,Los Angeles Basin,1/1/2020,001,0.08, ,0.00, ,281, ,10.4, ,,S,32.4, ,52.6, ,99, ,45, ,77, ,45.6, ,6.3, ,150.7, ,42.1, 
256,Lancaster,Los Angeles Basin,1/2/2020,002,0.07, ,0.00, ,285, ,11.9,Y,,S,35.2, ,55.6,Y,100, ,44, ,79,Y,49.2,Y,4.1, ,98.9, ,43.9, 
256,Lancaster,Los Angeles Basin,1/3/2020,003,0.06, ,0.00, ,287, ,11.7,Y,,S,33.7, ,51.9,H,100,H,48,H,88,Y,48.6,Y,3.1, ,73.8, ,43.9, 
256,Lancaster,Los Angeles Basin,1/4/2020,004,0.09,R,0.00, ,296, ,11.1,Y,,S,31.4, ,54.9,Y,100,H,33,H,76,Y,47.4,Y,5.3, ,127.4, ,44.0, 
256,Lancaster,Los Angeles Basin,1/5/2020,005,0.08, ,0.00, ,295, ,10.3,Y,,S,32.9, ,50.7, ,100, ,47, ,82,Y,45.4,Y,7.1, ,171.3, ,44.0, 
256,Lancaster,Los Angeles Basin,1/6/2020,006,0.07, ,0.00, ,316, ,9.0, ,,S,29.5, ,48.2,H,100,H,30,H,79, ,41.9, ,4.3, ,104.0, ,42.9, 
256,Lancaster,Los Angeles Basin,1/7/2020,007,0.06, ,0.00, ,298, ,8.3, ,,S,26.8, ,46.5, ,96, ,35, ,77, ,39.7, ,3.3, ,78.5, ,42.1, 
256,Lancaster,Los Angeles Basin,1/8/2020,008,0.09, ,0.00, ,303, ,10.7,Y,75.9,Y,32.4, ,53.1,Y,100,H,47,H,77,Y,46.3,Y,10.1, ,242.7, ,42.3, 
256,Lancaster,Los Angeles Basin,1/9/2020,009,0.09, ,0.00, ,290, ,11.3,Y,78.5,Y,33.9, ,54.2,Y,100,H,47,H,79,Y,47.7,Y,11.4, ,272.6, ,42.8, 
256,Lancaster,Los Angeles Basin,1/10/2020,010,0.06, ,0.00, ,316, ,9.1, ,87.6,R,30.6, ,48.1, ,100, ,46, ,80, ,42.2, ,4.0, ,95.9, ,41.9, 
256,Lancaster,Los Angeles Basin,1/11/2020,011,0.13, ,0.00, ,321, ,9.1, ,88.1,R,31.5, ,53.1, ,100, ,29, ,66, ,42.0, ,11.3, ,270.6, ,41.9, 
