Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
174,Long Beach,Los Angeles Basin,1/1/2020,001,0.07, ,0.00, ,283, ,10.4, ,65.8, ,39.3, ,52.6, ,98, ,43, ,77, ,45.6, ,2.2, ,54.0, ,54.6, 
174,Long Beach,Los Angeles Basin,1/2/2020,002,0.06, ,0.00, ,253, ,12.1, ,64.8, ,43.7, ,52.5, ,99, ,72, ,90, ,49.6, ,2.0, ,46.9, ,55.2, 
174,Long Beach,Los Angeles Basin,1/3/2020,003,0.07, ,0.01, ,272, ,10.5, ,70.0, ,40.8, ,52.9, ,100, ,41, ,77, ,45.8, ,1.6, ,38.8, ,55.3, 
174,Long Beach,Los Angeles Basin,1/4/2020,004,0.07, ,0.00, ,277, ,11.1, ,67.2, ,39.7, ,51.8, ,100, ,54, ,84, ,47.2, ,1.7, ,40.6, ,55.2, 
174,Long Beach,Los Angeles Basin,1/5/2020,005,0.07, ,0.01, ,283, ,10.9, ,68.9, ,40.0, ,51.7, ,100, ,47, ,83, ,46.8, ,1.6, ,39.6, ,55.3, 
174,Long Beach,Los Angeles Basin,1/6/2020,006,0.09, ,0.00, ,310, ,7.2, ,78.9, ,37.8, ,57.5, ,99, ,14, ,45, ,36.2, ,2.5, ,60.7, ,55.1, 
174,Long Beach,Los Angeles Basin,1/7/2020,007,0.09, ,0.00, ,292, ,7.5, ,78.2, ,44.6, ,57.6, ,96, ,17, ,46, ,37.0, ,2.3, ,55.6, ,55.0, 
174,Long Beach,Los Angeles Basin,1/8/2020,008,0.04, ,0.00, ,199, ,11.2, ,62.0, ,43.1, ,52.0, ,99, ,64, ,85, ,47.6, ,2.1, ,51.5, ,55.2, 
174,Long Beach,Los Angeles Basin,1/9/2020,009,0.06, ,0.00, ,244, ,10.7, ,62.3, ,42.6, ,51.0, ,99, ,56, ,84, ,46.4, ,2.4, ,56.9, ,55.1, 
174,Long Beach,Los Angeles Basin,1/10/2020,010,0.07, ,0.01, ,288, ,10.7, ,62.8, ,38.6, ,49.6, ,100, ,63, ,89, ,46.4, ,2.0, ,48.1, ,54.6, 
174,Long Beach,Los Angeles Basin,1/11/2020,011,0.06, ,0.01, ,246, ,10.6, ,62.5, ,37.6, ,49.1, ,100, ,68, ,90, ,46.2, ,2.1, ,49.8, ,54.4, 
174,Long Beach,Los Angeles Basin,1/12/2020,012,0.07, ,0.00, ,295, ,10.4, ,62.5, ,39.2, ,49.9, ,100, ,57, ,85, ,45.6, ,2.1, ,51.5, ,54.4, 
174,Long Beach,Los Angeles Basin,1/13/2020,013,0.05, ,0.00, ,243, ,10.9, ,62.5, ,41.6, ,50.8, ,100, ,62, ,86, ,46.7, ,2.1, ,50.5, ,54.5, 
