Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
254,Oakland Metro,San Francisco Bay,3/6/2018,065,0.01,H,0.00,H,16,H,8.7,H,65.4, ,47.8, ,54.0,H,68,H,41,H,61, ,41.0, ,3.1,H,75.2,H,53.4,H
254,Oakland Metro,San Francisco Bay,3/7/2018,066,0.14, ,0.00, ,388, ,8.3, ,69.3, ,46.9, ,57.1, ,84, ,25, ,52, ,39.8, ,4.1, ,99.2, ,53.5, 
254,Oakland Metro,San Francisco Bay,3/8/2018,067,0.13, ,0.11, ,455, ,12.5, ,65.4, ,48.8, ,57.0, ,96, ,60, ,79, ,50.5, ,4.8, ,114.7, ,56.5, 
254,Oakland Metro,San Francisco Bay,3/9/2018,068,0.10, ,0.00, ,358, ,12.1, ,63.3, ,48.5, ,53.5, ,98, ,64, ,86, ,49.5, ,4.2, ,101.2, ,56.4, 
254,Oakland Metro,San Francisco Bay,3/10/2018,069,0.03, ,0.00, ,141, ,12.2, ,58.7, ,48.1, ,53.0, ,99, ,71, ,89, ,49.9, ,2.7, ,65.2, ,55.5, 
254,Oakland Metro,San Francisco Bay,3/11/2018,070,0.11, ,0.00, ,436, ,12.3, ,68.7, ,47.3, ,55.1, ,100, ,57, ,83, ,50.0, ,4.0, ,96.9, ,56.8, 
254,Oakland Metro,San Francisco Bay,3/12/2018,071,0.09, ,0.09, ,330, ,13.8, ,69.2, ,45.3, ,57.9, ,100, ,61, ,84, ,53.2, ,5.0, ,119.1, ,57.4, 
254,Oakland Metro,San Francisco Bay,3/13/2018,072,0.05, ,0.32, ,160, ,13.3, ,61.5, ,48.5, ,56.6, ,95, ,68, ,85, ,52.1, ,7.5,R,180.2,R,57.5, 
254,Oakland Metro,San Francisco Bay,3/14/2018,073,0.10, ,0.07, ,373, ,10.0, ,58.0, ,42.0, ,51.3, ,90, ,62, ,78, ,44.6, ,6.4,Y,153.2,Y,56.3, 
254,Oakland Metro,San Francisco Bay,3/15/2018,074,0.09, ,0.17, ,305, ,9.8, ,57.8, ,39.7, ,49.8, ,89, ,70, ,81, ,44.1, ,9.4,R,225.1,R,54.1, 
254,Oakland Metro,San Francisco Bay,3/16/2018,075,0.12, ,0.11, ,433, ,9.2, ,55.2, ,43.5, ,50.1, ,90, ,59, ,75, ,42.4, ,7.9,R,190.2,R,54.4, 
254,Oakland Metro,San Francisco Bay,3/17/2018,076,0.12,R,0.09, ,474, ,9.0, ,56.3, ,40.0, ,47.9, ,95, ,60, ,79, ,41.8, ,5.0, ,118.9, ,54.1, 
254,Oakland Metro,San Francisco Bay,3/18/2018,077,0.09, ,0.00, ,344, ,8.8, ,56.4, ,35.2, ,47.7, ,98, ,60, ,78, ,41.1, ,3.8, ,91.7, ,53.1, 
