Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
116,Salinas North,Monterey Bay,1/1/2020,001,,N,0.00, ,168, ,12.2, ,59.8, ,41.0, ,50.7, ,100, ,84, ,97, ,49.8, ,4.5, ,107.3, ,52.3, 
116,Salinas North,Monterey Bay,1/2/2020,002,,N,0.00, ,181, ,11.9, ,63.8, ,43.9, ,53.2, ,100, ,65, ,86, ,49.2, ,4.3, ,103.9, ,53.0, 
116,Salinas North,Monterey Bay,1/3/2020,003,,N,0.00, ,193, ,10.4, ,67.3, ,44.0, ,51.7, ,95, ,50, ,79, ,45.6, ,6.6, ,159.1, ,53.1, 
116,Salinas North,Monterey Bay,1/4/2020,004,,N,0.00, ,163, ,11.7, ,60.4, ,46.4, ,51.6, ,98, ,76, ,90, ,48.6, ,4.7, ,112.5, ,53.1, 
116,Salinas North,Monterey Bay,1/5/2020,005,,N,0.00, ,192, ,10.0, ,61.9, ,39.7, ,49.3, ,100, ,55, ,84, ,44.7, ,3.7, ,88.4, ,53.1, 
116,Salinas North,Monterey Bay,1/6/2020,006,,N,0.00, ,165, ,8.9, ,64.4, ,39.6, ,52.1, ,94, ,39, ,67, ,41.5, ,7.3, ,175.9, ,52.6, 
116,Salinas North,Monterey Bay,1/7/2020,007,,N,0.00, ,161, ,9.4, ,58.8, ,39.5, ,49.2, ,90, ,59, ,79, ,43.0, ,6.5, ,157.1, ,52.4, 
116,Salinas North,Monterey Bay,1/8/2020,008,,N,0.00, ,170, ,11.4, ,58.4, ,44.5, ,51.5, ,99, ,73, ,88, ,47.9, ,4.4, ,105.8, ,52.7, 
116,Salinas North,Monterey Bay,1/9/2020,009,,N,0.10, ,147, ,10.6, ,59.6, ,40.7, ,49.2, ,99, ,73, ,88, ,46.0, ,5.9, ,142.6, ,53.0, 
116,Salinas North,Monterey Bay,1/10/2020,010,,N,0.00, ,148, ,9.6, ,61.6, ,37.2, ,47.2, ,97, ,59, ,87, ,43.5, ,4.9, ,118.3, ,52.4, 
116,Salinas North,Monterey Bay,1/11/2020,011,,N,0.00, ,170, ,10.8, ,60.0, ,42.1, ,50.2, ,99, ,66, ,88, ,46.7, ,4.7, ,113.0, ,52.4, 
116,Salinas North,Monterey Bay,1/12/2020,012,,N,0.00, ,192, ,9.9, ,60.5, ,38.4, ,47.7, ,99, ,61, ,88, ,44.2, ,4.1, ,97.8, ,52.2, 
116,Salinas North,Monterey Bay,1/13/2020,013,,N,0.00, ,190, ,10.5, ,59.3, ,43.0, ,49.7, ,97, ,67, ,87, ,45.9, ,4.1, ,98.9, ,52.2, 
116,Salinas North,Monterey Bay,1/14/2020,014,,N,0.02, ,95, ,10.2, ,59.4, ,40.7, ,49.0, ,99, ,65, ,86, ,45.0, ,5.6, ,134.9, ,52.5, 
116,Salinas North,Monterey Bay,1/15/2020,015,,N,0.00, ,203, ,9.0, ,64.5, ,36.6, ,46.8, ,97, ,54, ,82, ,41.7, ,5.5, ,132.6, ,52.0, 
116,Salinas North,Monterey Bay,1/16/2020,016,,N,0.73, ,59, ,9.6, ,55.2, ,39.9, ,46.6, ,95, ,74, ,88, ,43.4, ,12.4,Y,297.1,Y,51.2, 
116,Salinas North,Monterey Bay,1/17/2020,017,,N,0.00, ,203, ,9.6, ,60.3, ,39.5, ,47.6, ,95, ,63, ,85, ,43.5, ,5.7, ,136.4, ,50.5, 
116,Salinas North,Monterey Bay,1/18/2020,018,,N,0.00, ,162, ,9.2, ,58.1, ,42.0, ,49.0, ,89, ,64, ,78, ,42.4, ,6.9, ,164.8, ,50.7, 
116,Salinas North,Monterey Bay,1/19/2020,019,,N,0.00, ,109, ,9.7, ,58.0, ,43.0, ,49.7, ,89, ,66, ,80, ,43.7, ,8.2, ,196.0, ,50.8, 
116,Salinas North,Monterey Bay,1/20/2020,020,,N,0.01, ,60, ,11.4, ,56.7, ,44.5, ,50.7, ,100, ,77, ,90, ,47.9, ,4.0, ,96.6, ,51.1, 
116,Salinas North,Monterey Bay,1/21/2020,021,,N,0.00, ,148, ,12.0, ,61.7, ,42.9, ,52.3, ,99, ,69, ,90, ,49.4, ,4.2, ,101.6, ,51.5, 
116,Salinas North,Monterey Bay,1/22/2020,022,,N,0.00,R,218, ,13.9, ,63.8, ,48.7, ,56.6, ,100, ,76, ,89, ,53.4, ,4.7, ,111.9, ,52.8, 
116,Salinas North,Monterey Bay,1/23/2020,023,,N,0.00, ,213, ,12.9, ,69.1, ,48.9, ,55.2, ,100, ,57, ,86, ,51.2, ,5.5, ,132.5, ,53.2, 
116,Salinas North,Monterey Bay,1/24/2020,024,,N,0.00, ,200, ,13.4, ,69.2, ,46.6, ,54.5, ,100, ,65, ,92, ,52.3, ,4.3, ,102.1, ,53.6, 
116,Salinas North,Monterey Bay,1/25/2020,025,,N,0.01, ,181, ,14.6, ,65.7, ,49.9, ,56.1, ,100, ,75, ,95, ,54.7, ,4.9, ,116.5, ,53.9, 
116,Salinas North,Monterey Bay,1/26/2020,026,,N,0.06, ,166, ,14.8, ,60.7, ,48.4, ,56.0, ,100, ,85, ,97, ,55.1, ,5.6, ,135.1, ,54.9, 
116,Salinas North,Monterey Bay,1/27/2020,027,,N,0.00, ,255, ,11.9, ,62.4, ,42.5, ,52.0, ,100, ,62, ,90, ,49.2, ,4.0, ,96.8, ,54.8, 
116,Salinas North,Monterey Bay,1/28/2020,028,,N,0.00, ,202, ,12.9, ,64.1, ,46.3, ,54.0, ,100, ,69, ,91, ,51.3, ,4.0, ,96.9, ,54.6, 
116,Salinas North,Monterey Bay,1/29/2020,029,,N,0.00, ,195, ,11.8, ,62.3, ,42.6, ,51.8, ,100, ,67, ,90, ,48.9, ,4.2, ,100.2, ,54.5, 
116,Salinas North,Monterey Bay,1/30/2020,030,,N,0.13, ,155, ,12.7, ,61.3, ,42.7, ,51.7, ,100, ,83, ,97, ,50.9, ,4.0, ,96.0, ,54.2, 
116,Salinas North,Monterey Bay,1/31/2020,031,,N,0.00, ,198, ,12.7, ,73.0, ,44.7, ,54.4, ,100, ,57, ,88, ,50.9, ,4.8, ,116.3, ,54.3, 
116,Salinas North,Monterey Bay,2/1/2020,032,,N,0.05, ,228, ,13.0, ,71.8, ,44.8, ,55.7, ,100, ,52, ,86, ,51.5, ,5.8, ,138.0, ,54.5, 
