Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
184,San Diego II,South Coast Valleys,10/9/2015,282,0.15,R,0.00, ,395, ,14.6, ,99.0,Y,65.3, ,,R,91,H,29,H,,R,,I,1.8, ,43.0, ,74.1, 
184,San Diego II,South Coast Valleys,10/10/2015,283,0.14,R,0.00, ,387, ,15.9, ,97.7,Y,71.6,Y,,R,84,H,22,H,,R,,I,1.8, ,43.6, ,75.6,Y
184,San Diego II,South Coast Valleys,10/11/2015,284,0.14, ,0.00, ,379, ,16.6, ,94.6,Y,70.2,Y,79.9,R,84,H,23,H,,R,,I,1.5, ,35.3, ,75.9,Y
184,San Diego II,South Coast Valleys,10/12/2015,285,0.07,R,0.00, ,162, ,17.4, ,95.3,Y,71.3,Y,79.6,R,62,H,29,H,,R,,I,1.6, ,39.0, ,75.0,Y
184,San Diego II,South Coast Valleys,10/13/2015,286,0.13,R,0.00, ,382, ,22.8, ,87.0, ,72.7,Y,79.0,Y,79,H,57,H,67,Y,67.2,Y,1.6, ,38.0, ,76.7,Y
184,San Diego II,South Coast Valleys,10/14/2015,287,0.11, ,0.00, ,341, ,24.9,Y,84.8, ,71.7,Y,76.7,Y,93, ,62, ,79,Y,69.8,Y,1.8, ,42.4, ,,Y
184,San Diego II,South Coast Valleys,10/15/2015,288,0.09, ,0.00, ,300, ,23.4, ,79.4, ,70.9,Y,73.8, ,91, ,69, ,82, ,68.0, ,2.4, ,56.5, ,76.9,Y
184,San Diego II,South Coast Valleys,10/16/2015,289,0.03, ,0.00, ,129, ,22.7, ,74.0, ,70.2,Y,71.4, ,92, ,80, ,86, ,67.1, ,2.4, ,56.7, ,75.7,Y
184,San Diego II,South Coast Valleys,10/17/2015,290,0.06, ,0.00, ,231, ,23.2, ,78.5, ,70.0,Y,72.8, ,92, ,72, ,84, ,67.8, ,2.4, ,57.7, ,75.7,Y
184,San Diego II,South Coast Valleys,10/18/2015,291,0.04, ,0.00, ,151, ,21.2, ,76.0, ,67.3,Y,71.5, ,86, ,73, ,80, ,65.1, ,1.6, ,38.8, ,75.1,Y
184,San Diego II,South Coast Valleys,10/19/2015,292,0.07, ,0.00, ,249, ,16.5, ,74.5, ,62.6, ,67.9, ,84, ,56, ,71, ,58.1, ,1.4, ,34.7, ,73.4, 
184,San Diego II,South Coast Valleys,10/20/2015,293,0.09, ,0.00, ,311, ,17.0, ,75.9, ,60.8, ,68.1, ,86, ,54, ,72, ,58.9, ,1.6, ,38.8, ,72.8, 
184,San Diego II,South Coast Valleys,10/21/2015,294,0.10, ,0.00, ,332, ,18.8, ,77.9, ,61.6, ,69.1, ,90, ,61, ,77, ,61.7, ,1.4, ,34.3, ,73.3, 
184,San Diego II,South Coast Valleys,10/22/2015,295,0.10, ,0.00, ,348, ,18.7, ,79.7, ,60.4, ,69.0, ,92, ,61, ,77, ,61.6, ,1.4, ,34.4, ,73.2, 
184,San Diego II,South Coast Valleys,10/23/2015,296,0.11, ,0.00, ,348, ,18.8, ,82.0, ,61.2, ,69.5, ,91, ,55, ,77, ,61.8, ,2.1, ,50.7, ,73.1, 
184,San Diego II,South Coast Valleys,10/24/2015,297,0.13, ,0.00, ,345, ,13.5, ,86.6, ,60.0, ,73.4,Y,92, ,29, ,48,Y,52.6,Y,1.9, ,44.7, ,73.0, 
184,San Diego II,South Coast Valleys,10/25/2015,298,0.06, ,0.00, ,191, ,16.5, ,80.7, ,64.3, ,71.4, ,93, ,36, ,63, ,58.1, ,1.1, ,26.9, ,72.2, 
