Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
106,Sanel Valley,North Coast Valleys,1/1/2020,001,0.03, ,0.00, ,123, ,10.4, ,65.4, ,41.5, ,50.7, ,94, ,61, ,83, ,45.6, ,3.2, ,76.7, ,48.0, 
106,Sanel Valley,North Coast Valleys,1/2/2020,002,0.06, ,0.00, ,218, ,8.2, ,65.0, ,32.8, ,46.2, ,96, ,44, ,77, ,39.3, ,3.0, ,71.9, ,47.8, 
106,Sanel Valley,North Coast Valleys,1/3/2020,003,0.05, ,0.00, ,208, ,7.8, ,64.7, ,29.9, ,44.1, ,96, ,45, ,79, ,38.1, ,2.7, ,65.0, ,47.1, 
106,Sanel Valley,North Coast Valleys,1/4/2020,004,0.05, ,0.15, ,216, ,9.2, ,60.8, ,36.9, ,47.8, ,96, ,57, ,82, ,42.4, ,3.3, ,78.5, ,47.2, 
106,Sanel Valley,North Coast Valleys,1/5/2020,005,0.04, ,0.00, ,176, ,7.5, ,55.4, ,30.4, ,41.5, ,95, ,67, ,84, ,37.2, ,2.8, ,68.2, ,47.1, 
106,Sanel Valley,North Coast Valleys,1/6/2020,006,0.05, ,0.01, ,230, ,6.3, ,62.6, ,26.6, ,40.3, ,95, ,37, ,74, ,32.7, ,2.5, ,61.2, ,46.0, 
106,Sanel Valley,North Coast Valleys,1/7/2020,007,0.04, ,0.05, ,204, ,7.6, ,56.9, ,26.3, ,40.9, ,96, ,56, ,87, ,37.4, ,2.7, ,65.0, ,45.2, 
106,Sanel Valley,North Coast Valleys,1/8/2020,008,0.01, ,0.00, ,86, ,9.5, ,52.6, ,42.0, ,45.7, ,97, ,76, ,91, ,43.2, ,2.3, ,56.3, ,46.4, 
106,Sanel Valley,North Coast Valleys,1/9/2020,009,0.05, ,0.22, ,208, ,9.0, ,59.2, ,33.7, ,46.8, ,96, ,55, ,83, ,41.8, ,3.7, ,88.7, ,47.4, 
106,Sanel Valley,North Coast Valleys,1/10/2020,010,0.04, ,0.02, ,192, ,8.1, ,61.7, ,33.4, ,44.0, ,96, ,52, ,82, ,38.9, ,2.9, ,69.5, ,47.2, 
106,Sanel Valley,North Coast Valleys,1/11/2020,011,0.04, ,0.02, ,144, ,8.6, ,56.2, ,34.8, ,45.4, ,96, ,59, ,83, ,40.5, ,3.4, ,82.5, ,47.9, 
106,Sanel Valley,North Coast Valleys,1/12/2020,012,0.02, ,0.02, ,118, ,8.1, ,51.2, ,30.0, ,41.3, ,96, ,81, ,92, ,39.2, ,1.9, ,45.0, ,47.1, 
106,Sanel Valley,North Coast Valleys,1/13/2020,013,0.03, ,0.06, ,140, ,9.2, ,53.2, ,36.9, ,46.1, ,96, ,65, ,87, ,42.5, ,3.1, ,75.6, ,47.4, 
106,Sanel Valley,North Coast Valleys,1/14/2020,014,0.03, ,0.04, ,139, ,8.1, ,51.7, ,32.7, ,43.0, ,96, ,66, ,85, ,39.0, ,3.1, ,74.4, ,47.9, 
106,Sanel Valley,North Coast Valleys,1/15/2020,015,0.03, ,0.06, ,141, ,7.9, ,49.9, ,34.2, ,42.0, ,96, ,65, ,87, ,38.3, ,3.8, ,91.5, ,47.5, 
