Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
99,Santa Monica,Los Angeles Basin,1/1/2020,001,0.08, ,0.01, ,297, ,8.9, ,67.0, ,50.1, ,57.5, ,91, ,35, ,55, ,41.6, ,3.3, ,78.5, ,55.4, 
99,Santa Monica,Los Angeles Basin,1/2/2020,002,0.06, ,0.00, ,257, ,11.8, ,64.3, ,48.9, ,56.0, ,98, ,42, ,77, ,48.9, ,3.2, ,75.9, ,56.0, 
99,Santa Monica,Los Angeles Basin,1/3/2020,003,0.09, ,0.00,H,299, ,8.4, ,72.5, ,53.2, ,60.4, ,55, ,32, ,47, ,39.9, ,3.4, ,82.3, ,56.4, 
99,Santa Monica,Los Angeles Basin,1/4/2020,004,0.07, ,0.00, ,302, ,10.3, ,66.2, ,47.8, ,56.0, ,94, ,56, ,67, ,45.3, ,3.3, ,78.0, ,56.5, 
99,Santa Monica,Los Angeles Basin,1/5/2020,005,0.10, ,0.00,H,297, ,8.4, ,65.7, ,48.1, ,58.2, ,67, ,28, ,50, ,39.9, ,5.0, ,120.6, ,56.5, 
99,Santa Monica,Los Angeles Basin,1/6/2020,006,0.11, ,0.00, ,323,R,4.5, ,78.9, ,53.4, ,66.1, ,45, ,13, ,21, ,24.7, ,4.1, ,98.0, ,56.4, 
99,Santa Monica,Los Angeles Basin,1/7/2020,007,0.12, ,0.00, ,300, ,6.0, ,76.6, ,53.0, ,64.1, ,76, ,14, ,30, ,31.7, ,4.0, ,95.1, ,56.6, 
99,Santa Monica,Los Angeles Basin,1/8/2020,008,0.07, ,0.00, ,252, ,10.6, ,62.7, ,50.1, ,55.0, ,91, ,46, ,71, ,46.0, ,3.4, ,82.1, ,56.8, 
99,Santa Monica,Los Angeles Basin,1/9/2020,009,0.08, ,0.00, ,251, ,7.9, ,60.8, ,49.7, ,54.7, ,73, ,43, ,54, ,38.4, ,4.5, ,107.3, ,56.9, 
99,Santa Monica,Los Angeles Basin,1/10/2020,010,0.08, ,0.00, ,311, ,8.3, ,65.4, ,46.0, ,54.9, ,76, ,39, ,56, ,39.7, ,3.3, ,79.4, ,56.4, 
99,Santa Monica,Los Angeles Basin,1/11/2020,011,0.05, ,0.00, ,241, ,9.7, ,63.1, ,45.8, ,52.3, ,84, ,62, ,73, ,43.8, ,2.9, ,69.2, ,56.2, 
99,Santa Monica,Los Angeles Basin,1/12/2020,012,0.07, ,0.00, ,313, ,10.0, ,60.6, ,46.5, ,52.6, ,92, ,50, ,74, ,44.5, ,3.8, ,90.8, ,56.3, 
99,Santa Monica,Los Angeles Basin,1/13/2020,013,0.07, ,0.00, ,310, ,10.3, ,62.3, ,46.7, ,52.8, ,94, ,56, ,76, ,45.4, ,3.4, ,81.4, ,56.4, 
99,Santa Monica,Los Angeles Basin,1/14/2020,014,0.07, ,0.00, ,309, ,10.7, ,61.1, ,46.0, ,52.3, ,89, ,68, ,80, ,46.3, ,3.3, ,78.1, ,56.5, 
99,Santa Monica,Los Angeles Basin,1/15/2020,015,0.07, ,0.00, ,308, ,9.8, ,62.0, ,44.1, ,52.3, ,87, ,52, ,73, ,43.9, ,3.2, ,76.5, ,56.4, 
99,Santa Monica,Los Angeles Basin,1/16/2020,016,0.04, ,0.00, ,178, ,10.9, ,60.3, ,46.1, ,52.8, ,100, ,60, ,80, ,46.8, ,3.7, ,88.9, ,56.6, 
99,Santa Monica,Los Angeles Basin,1/17/2020,017,0.07, ,0.00, ,320, ,9.7, ,62.2, ,45.1, ,52.3, ,100, ,53, ,73, ,43.8, ,3.0, ,72.3, ,56.7, 
99,Santa Monica,Los Angeles Basin,1/18/2020,018,0.11, ,0.00, ,292, ,5.7, ,70.6, ,49.7, ,60.1, ,49, ,20, ,32, ,30.4, ,4.3, ,103.3, ,56.4, 
99,Santa Monica,Los Angeles Basin,1/19/2020,019,0.09, ,0.00, ,211, ,6.6, ,77.0, ,55.3, ,62.5, ,62, ,18, ,34, ,33.9, ,3.6, ,86.8, ,56.4, 
99,Santa Monica,Los Angeles Basin,1/20/2020,020,0.03, ,0.00, ,123, ,11.7, ,63.2, ,54.3, ,57.2, ,84, ,53, ,73, ,48.7, ,2.4, ,57.2, ,57.1, 
