Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
83,Santa Rosa,North Coast Valleys,1/1/2020,001,0.04, ,0.00, ,183, ,11.2, ,63.2, ,39.3, ,51.0, ,98, ,73, ,88, ,47.5, ,2.9, ,68.6, ,49.9, 
83,Santa Rosa,North Coast Valleys,1/2/2020,002,0.06, ,0.00, ,262, ,9.0, ,69.4, ,33.6, ,48.2, ,98, ,45, ,79, ,41.9, ,2.0, ,49.2, ,49.9, 
83,Santa Rosa,North Coast Valleys,1/3/2020,003,0.05, ,0.00, ,236, ,8.9, ,61.2, ,32.1, ,44.6, ,98, ,66, ,89, ,41.6, ,2.8, ,66.4, ,48.8, 
83,Santa Rosa,North Coast Valleys,1/4/2020,004,0.05, ,0.07, ,265, ,9.9, ,62.0, ,35.2, ,47.5, ,98, ,58, ,88, ,44.2, ,2.4, ,58.3, ,49.6, 
83,Santa Rosa,North Coast Valleys,1/5/2020,005,0.06, ,0.00, ,256, ,8.1, ,60.6, ,30.4, ,43.7, ,98, ,57, ,83, ,39.0, ,2.6, ,63.3, ,48.5, 
83,Santa Rosa,North Coast Valleys,1/6/2020,006,0.06, ,0.00, ,277,R,7.4, ,60.8, ,30.1, ,42.5, ,97, ,47, ,80, ,36.9, ,1.9, ,44.4, ,47.4, 
83,Santa Rosa,North Coast Valleys,1/7/2020,007,0.05, ,0.07, ,278,R,8.5, ,59.3, ,28.0, ,43.1, ,97, ,65, ,90, ,40.3, ,2.6, ,63.4, ,46.9, 
83,Santa Rosa,North Coast Valleys,1/8/2020,008,0.02, ,0.00, ,125, ,9.8, ,54.2, ,39.9, ,45.8, ,98, ,80, ,94, ,44.0, ,2.1, ,50.4, ,49.1, 
83,Santa Rosa,North Coast Valleys,1/9/2020,009,0.06, ,0.12,H,267, ,9.5, ,59.5, ,35.7, ,47.9, ,98, ,57, ,84, ,43.3, ,3.4, ,82.4, ,49.7, 
83,Santa Rosa,North Coast Valleys,1/10/2020,010,0.05, ,0.00, ,265, ,8.4, ,58.2, ,30.6, ,43.9, ,98, ,62, ,86, ,40.0, ,2.9, ,69.9, ,48.2, 
83,Santa Rosa,North Coast Valleys,1/11/2020,011,0.05, ,0.01, ,221, ,9.3, ,57.1, ,34.5, ,46.8, ,98, ,60, ,85, ,42.6, ,3.5, ,83.6, ,49.9, 
83,Santa Rosa,North Coast Valleys,1/12/2020,012,0.04, ,0.00, ,182, ,8.2, ,55.5, ,29.5, ,42.4, ,97, ,69, ,89, ,39.5, ,3.1, ,73.9, ,47.9, 
83,Santa Rosa,North Coast Valleys,1/13/2020,013,0.05, ,0.08, ,224, ,9.5, ,56.2, ,32.3, ,45.9, ,98, ,65, ,90, ,43.2, ,4.4, ,105.6, ,48.4, 
83,Santa Rosa,North Coast Valleys,1/14/2020,014,0.06, ,0.00, ,253, ,8.6, ,55.4, ,34.0, ,46.5, ,97, ,61, ,80, ,40.7, ,4.4, ,105.6, ,49.4, 
83,Santa Rosa,North Coast Valleys,1/15/2020,015,0.03, ,0.02, ,172, ,7.7, ,51.5, ,28.8, ,40.4, ,98, ,72, ,90, ,37.8, ,3.7, ,88.6, ,47.5, 
83,Santa Rosa,North Coast Valleys,1/16/2020,016,0.02, ,0.74, ,130, ,9.2, ,52.5, ,35.6, ,45.5, ,97, ,68, ,89, ,42.3, ,5.8, ,138.3, ,48.6, 
83,Santa Rosa,North Coast Valleys,1/17/2020,017,0.03, ,0.00, ,184, ,8.4, ,53.1, ,34.1, ,42.0, ,98, ,68, ,92, ,39.9, ,2.5, ,59.6, ,47.6, 
