Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
173,Torrey Pines,South Coast Valleys,1/1/2020,001,0.08, ,0.00, ,298, ,10.7, ,62.4, ,48.1, ,55.2, ,92, ,45, ,72, ,46.3, ,4.5, ,107.9, ,54.3, 
173,Torrey Pines,South Coast Valleys,1/2/2020,002,0.07, ,0.00, ,288, ,12.5, ,62.1, ,47.7, ,54.4, ,93, ,73, ,86, ,50.4, ,4.4, ,106.7, ,55.1, 
173,Torrey Pines,South Coast Valleys,1/3/2020,003,0.08, ,0.00, ,307, ,9.3, ,68.1, ,51.1, ,59.1, ,79, ,36, ,54, ,42.6, ,3.4, ,81.4, ,55.1, 
173,Torrey Pines,South Coast Valleys,1/4/2020,004,0.07, ,0.00, ,309, ,12.9, ,60.9, ,48.0, ,55.2, ,97, ,61, ,86, ,51.2, ,3.2, ,76.0, ,54.8, 
173,Torrey Pines,South Coast Valleys,1/5/2020,005,0.06, ,0.01,H,307, ,13.0, ,59.1, ,46.7, ,54.0, ,98, ,79, ,91, ,51.5, ,3.4, ,81.6, ,55.1, 
173,Torrey Pines,South Coast Valleys,1/6/2020,006,0.10, ,0.00, ,325, ,7.9, ,70.0, ,50.1, ,60.8, ,82, ,23, ,43, ,38.4, ,3.9, ,94.2, ,54.8, 
173,Torrey Pines,South Coast Valleys,1/7/2020,007,0.10, ,0.00, ,333, ,6.9, ,68.1, ,49.6, ,59.4, ,80, ,20, ,40, ,35.0, ,3.6, ,86.2, ,54.5, 
173,Torrey Pines,South Coast Valleys,1/8/2020,008,0.05, ,0.00, ,210, ,10.4, ,59.9, ,44.9, ,53.0, ,83, ,58, ,76, ,45.7, ,4.7, ,112.6, ,54.1, 
173,Torrey Pines,South Coast Valleys,1/9/2020,009,0.05, ,0.14, ,197, ,11.6, ,58.1, ,48.3, ,53.3, ,95, ,70, ,83, ,48.4, ,5.6, ,133.4, ,54.7, 
173,Torrey Pines,South Coast Valleys,1/10/2020,010,0.07, ,0.00, ,320, ,10.8, ,58.1, ,44.3, ,51.8, ,95, ,70, ,82, ,46.7, ,4.4, ,106.5, ,54.4, 
