Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
103,Windsor,North Coast Valleys,1/1/2020,001,0.04, ,0.00, ,146, ,10.9, ,65.4, ,41.1, ,52.4, ,99, ,63, ,81, ,46.7, ,2.1, ,49.4, ,54.3,H
103,Windsor,North Coast Valleys,1/2/2020,002,0.06, ,0.00, ,215, ,8.7, ,70.4, ,36.3, ,51.1, ,99, ,36, ,68, ,41.0, ,2.4, ,58.8, ,53.2,H
103,Windsor,North Coast Valleys,1/3/2020,003,0.04, ,0.00, ,196, ,8.8, ,64.5, ,34.5, ,45.6, ,98, ,57, ,84, ,41.2, ,1.7, ,41.1, ,51.3, 
103,Windsor,North Coast Valleys,1/4/2020,004,0.06, ,0.09, ,230, ,9.5, ,64.8, ,36.0, ,48.7, ,99, ,52, ,81, ,43.1, ,2.1, ,50.8, ,53.8,H
103,Windsor,North Coast Valleys,1/5/2020,005,0.05, ,0.00, ,200, ,8.0, ,62.9, ,33.0, ,46.0, ,96, ,45, ,75, ,38.6, ,2.4, ,57.7, ,50.7, 
103,Windsor,North Coast Valleys,1/6/2020,006,0.05, ,0.00, ,224, ,6.9, ,65.7, ,30.7, ,43.5, ,98, ,34, ,71, ,34.9, ,1.6, ,38.0, ,49.6, 
103,Windsor,North Coast Valleys,1/7/2020,007,0.05, ,0.06, ,225, ,8.3, ,62.1, ,30.2, ,44.8, ,98, ,56, ,82, ,39.8, ,2.0, ,48.6, ,49.8, 
103,Windsor,North Coast Valleys,1/8/2020,008,0.01, ,0.01, ,92, ,9.8, ,54.0, ,39.7, ,45.5, ,99, ,80, ,95, ,44.0, ,1.6, ,37.7, ,52.1, 
103,Windsor,North Coast Valleys,1/9/2020,009,0.05, ,0.12, ,198, ,9.3, ,63.4, ,36.3, ,48.0, ,99, ,50, ,82, ,42.6, ,2.4, ,58.7, ,53.6, 
103,Windsor,North Coast Valleys,1/10/2020,010,0.05, ,0.01, ,225, ,8.1, ,60.8, ,31.3, ,45.1, ,99, ,50, ,80, ,39.2, ,2.1, ,50.5, ,51.6, 
103,Windsor,North Coast Valleys,1/11/2020,011,0.04, ,0.01, ,165, ,9.2, ,58.6, ,36.6, ,47.2, ,99, ,53, ,83, ,42.4, ,2.5, ,60.4, ,55.0, 
103,Windsor,North Coast Valleys,1/12/2020,012,0.03, ,0.00, ,143, ,8.3, ,57.9, ,34.6, ,44.9, ,98, ,61, ,82, ,39.7, ,2.6, ,61.8, ,50.4, 
103,Windsor,North Coast Valleys,1/13/2020,013,0.04, ,0.07, ,193, ,9.3, ,57.1, ,33.3, ,45.4, ,99, ,62, ,90, ,42.6, ,2.8, ,67.7, ,52.1, 
103,Windsor,North Coast Valleys,1/14/2020,014,0.04, ,0.00, ,175, ,8.1, ,57.8, ,33.1, ,45.1, ,98, ,56, ,79, ,39.1, ,2.3, ,54.3, ,52.9, 
103,Windsor,North Coast Valleys,1/15/2020,015,0.04, ,0.00, ,173, ,7.6, ,51.4, ,29.3, ,41.8, ,99, ,67, ,85, ,37.5, ,3.2, ,75.8, ,49.4, 
103,Windsor,North Coast Valleys,1/16/2020,016,0.02, ,0.92, ,113, ,9.2, ,54.1, ,36.7, ,45.7, ,99, ,68, ,88, ,42.3, ,3.9, ,94.4, ,52.8, 
103,Windsor,North Coast Valleys,1/17/2020,017,0.04, ,0.00, ,186, ,8.4, ,55.6, ,35.9, ,43.0, ,99, ,60, ,90, ,40.1, ,2.1, ,50.7, ,51.8, 
103,Windsor,North Coast Valleys,1/18/2020,018,0.04, ,0.00, ,184, ,8.2, ,57.6, ,37.2, ,45.0, ,99, ,51, ,81, ,39.5, ,1.8, ,43.2, ,52.6, 
103,Windsor,North Coast Valleys,1/19/2020,019,0.02, ,0.00, ,124, ,8.4, ,51.4, ,36.5, ,43.1, ,98, ,71, ,89, ,40.1, ,1.8, ,43.8, ,51.0, 
103,Windsor,North Coast Valleys,1/20/2020,020,0.02, ,0.00, ,101, ,8.7, ,58.9, ,37.3, ,44.7, ,98, ,60, ,87, ,41.0, ,1.8, ,42.3, ,51.4, 
103,Windsor,North Coast Valleys,1/21/2020,021,0.00, ,0.65, ,42, ,11.7, ,53.9, ,40.6, ,48.8, ,99, ,97, ,99, ,48.7, ,2.2, ,53.7, ,53.0, 
103,Windsor,North Coast Valleys,1/22/2020,022,0.05, ,0.00, ,207, ,10.3, ,67.5, ,41.4, ,50.4, ,99, ,40, ,82, ,45.3, ,1.8, ,43.3, ,59.3,Y
103,Windsor,North Coast Valleys,1/23/2020,023,0.03, ,0.00, ,140, ,10.3, ,59.8, ,40.0, ,48.4, ,99, ,65, ,89, ,45.2, ,1.3, ,31.5, ,57.8,Y
103,Windsor,North Coast Valleys,1/24/2020,024,0.02, ,0.01, ,124, ,12.4, ,59.8, ,44.8, ,52.1, ,99, ,80, ,94, ,50.3, ,1.7, ,40.7, ,60.9,Y
103,Windsor,North Coast Valleys,1/25/2020,025,0.02, ,0.28,H,101, ,14.7, ,62.5, ,53.3, ,56.1, ,99, ,81, ,96, ,54.9, ,1.6, ,38.8, ,,S
103,Windsor,North Coast Valleys,1/26/2020,026,0.07, ,0.22, ,232, ,12.1, ,64.8, ,44.1, ,55.0, ,99, ,47, ,82, ,49.5, ,3.0, ,71.1, ,,S
103,Windsor,North Coast Valleys,1/27/2020,027,0.04, ,0.00, ,175, ,11.1, ,65.6, ,45.6, ,51.1, ,96, ,63, ,87, ,47.3, ,2.1, ,49.8, ,,S
103,Windsor,North Coast Valleys,1/28/2020,028,0.05, ,0.04, ,205, ,11.6, ,64.3, ,40.9, ,52.5, ,99, ,56, ,86, ,48.5, ,2.2, ,53.5, ,,S
103,Windsor,North Coast Valleys,1/29/2020,029,0.07, ,0.00, ,223, ,8.8, ,67.1, ,38.2, ,51.0, ,99, ,35, ,69, ,41.2, ,2.5, ,59.1, ,62.2,R
103,Windsor,North Coast Valleys,1/30/2020,030,0.07, ,0.00, ,246, ,11.4, ,75.3,Y,44.3, ,55.2, ,98, ,38, ,76, ,47.9, ,2.0, ,47.9, ,,S
103,Windsor,North Coast Valleys,1/31/2020,031,0.06, ,0.00, ,251, ,11.0, ,70.5, ,40.2, ,52.3, ,100, ,51, ,82, ,47.1, ,1.6, ,38.2, ,,S
103,Windsor,North Coast Valleys,2/1/2020,032,0.07, ,0.00, ,275, ,11.0, ,73.3, ,39.3, ,52.0, ,99, ,52, ,83, ,47.1, ,1.8, ,42.0, ,,S
103,Windsor,North Coast Valleys,2/2/2020,033,0.09, ,0.00, ,266, ,7.0, ,55.1, ,40.9, ,48.3, ,99, ,33, ,60, ,35.2, ,6.5,Y,155.5,Y,59.9,Y
103,Windsor,North Coast Valleys,2/3/2020,034,0.09, ,0.00, ,304, ,4.9, ,60.1, ,36.5, ,46.0, ,73, ,12, ,47, ,26.7, ,4.3, ,102.8, ,52.1,H
103,Windsor,North Coast Valleys,2/4/2020,035,0.08, ,0.00, ,283, ,4.9, ,64.1, ,31.0, ,44.9, ,87, ,16, ,49, ,26.8, ,3.2, ,75.9, ,51.3,H
103,Windsor,North Coast Valleys,2/5/2020,036,0.08, ,0.00, ,300, ,7.1, ,67.7, ,32.4, ,46.8, ,94, ,33, ,65, ,35.8, ,1.9, ,45.5, ,54.5,H
103,Windsor,North Coast Valleys,2/6/2020,037,0.08, ,0.00, ,301, ,8.8, ,70.6, ,34.3, ,49.1, ,98, ,43, ,74, ,41.3, ,1.7, ,40.2, ,57.8,Y
103,Windsor,North Coast Valleys,2/7/2020,038,0.08, ,0.00, ,305, ,9.2, ,69.2, ,34.8, ,48.7, ,100, ,47, ,79, ,42.5, ,2.0, ,47.0, ,59.3,Y
103,Windsor,North Coast Valleys,2/8/2020,039,0.09, ,0.01, ,305, ,7.8, ,64.8, ,36.9, ,48.8, ,99, ,39, ,66, ,38.0, ,4.0, ,96.9, ,59.7,Y
103,Windsor,North Coast Valleys,2/9/2020,040,0.15, ,0.00, ,325, ,4.0,Y,66.7, ,43.3, ,55.0, ,61, ,15, ,27,Y,21.5,Y,7.1,Y,170.7,Y,58.0,Y
